1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;14511000;Chemnitz;insg.;4,260;2,651;1,609;51;23;28;307;174;133;358;197;161;397;209;188;375;217;158;2,864;1,877;987;266;151;115;3,130;2,028;1,102
------;Straftaten insgesamt;6411000;Darmstadt;vers.;131;85;46;0;0;0;2;2;0;2;2;0;10;7;3;5;5;0;107;67;40;7;4;3;114;71;43
------;Straftaten insgesamt;6411000;Darmstadt;voll.;2,289;1,347;942;13;6;7;137;77;60;150;83;67;191;107;84;141;68;73;1,689;1,025;664;118;64;54;1,807;1,089;718
------;Straftaten insgesamt;6411000;Darmstadt;insg.;2,420;1,432;988;13;6;7;139;79;60;152;85;67;201;114;87;146;73;73;1,796;1,092;704;125;68;57;1,921;1,160;761
------;Straftaten insgesamt;5913000;Dortmund;vers.;1,278;903;375;13;8;5;54;28;26;67;36;31;86;55;31;85;66;19;923;662;261;117;84;33;1,040;746;294
------;Straftaten insgesamt;5913000;Dortmund;voll.;13,385;7,928;5,457;105;54;51;826;466;360;931;520;411;1,135;614;521;987;549;438;9,548;5,802;3,746;784;443;341;10,332;6,245;4,087
------;Straftaten insgesamt;5913000;Dortmund;insg.;14,663;8,831;5,832;118;62;56;880;494;386;998;556;442;1,221;669;552;1,072;615;457;10,471;6,464;4,007;901;527;374;11,372;6,991;4,381
------;Straftaten insgesamt;14612000;Dresden;vers.;544;376;168;13;6;7;33;25;8;46;31;15;52;38;14;44;26;18;345;246;99;57;35;22;402;281;121
------;Straftaten insgesamt;14612000;Dresden;voll.;8,439;5,282;3,157;106;50;56;609;346;263;715;396;319;843;540;303;571;352;219;5,818;3,717;2,101;492;277;215;6,310;3,994;2,316
------;Straftaten insgesamt;14612000;Dresden;insg.;8,983;5,658;3,325;119;56;63;642;371;271;761;427;334;895;578;317;615;378;237;6,163;3,963;2,200;549;312;237;6,712;4,275;2,437
------;Straftaten insgesamt;5112000;Duisburg;vers.;713;457;256;8;4;4;67;44;23;75;48;27;62;44;18;51;33;18;452;285;167;73;47;26;525;332;193
------;Straftaten insgesamt;5112000;Duisburg;voll.;9,172;5,033;4,139;101;59;42;814;465;349;915;524;391;812;449;363;576;312;264;6,220;3,361;2,859;649;387;262;6,869;3,748;3,121
------;Straftaten insgesamt;5112000;Duisburg;insg.;9,885;5,490;4,395;109;63;46;881;509;372;990;572;418;874;493;381;627;345;282;6,672;3,646;3,026;722;434;288;7,394;4,080;3,314
------;Straftaten insgesamt;5111000;Düsseldorf;vers.;1,075;715;360;12;5;7;89;48;41;101;53;48;82;58;24;74;46;28;732;506;226;86;52;34;818;558;260
------;Straftaten insgesamt;5111000;Düsseldorf;voll.;12,411;7,770;4,641;107;58;49;563;303;260;670;361;309;897;536;361;860;501;359;9,169;5,885;3,284;815;487;328;9,984;6,372;3,612
------;Straftaten insgesamt;5111000;Düsseldorf;insg.;13,486;8,485;5,001;119;63;56;652;351;301;771;414;357;979;594;385;934;547;387;9,901;6,391;3,510;901;539;362;10,802;6,930;3,872
------;Straftaten insgesamt;16051000;Erfurt;vers.;418;280;138;7;7;0;30;15;15;37;22;15;46;36;10;38;26;12;270;181;89;27;15;12;297;196;101
------;Straftaten insgesamt;16051000;Erfurt;voll.;4,739;3,010;1,729;66;38;28;343;178;165;409;216;193;376;228;148;404;270;134;3,319;2,155;1,164;231;141;90;3,550;2,296;1,254
------;Straftaten insgesamt;16051000;Erfurt;insg.;5,157;3,290;1,867;73;45;28;373;193;180;446;238;208;422;264;158;442;296;146;3,589;2,336;1,253;258;156;102;3,847;2,492;1,355
------;Straftaten insgesamt;9562000;Erlangen;vers.;84;46;38;0;0;0;1;0;1;1;0;1;6;1;5;12;4;8;60;38;22;5;3;2;65;41;24
------;Straftaten insgesamt;9562000;Erlangen;voll.;1,200;687;513;16;6;10;82;39;43;98;45;53;89;46;43;96;53;43;831;495;336;86;48;38;917;543;374
------;Straftaten insgesamt;9562000;Erlangen;insg.;1,284;733;551;16;6;10;83;39;44;99;45;54;95;47;48;108;57;51;891;533;358;91;51;40;982;584;398
------;Straftaten insgesamt;5113000;Essen;vers.;849;540;309;19;7;12;57;42;15;76;49;27;86;58;28;61;38;23;544;345;199;82;50;32;626;395;231
------;Straftaten insgesamt;5113000;Essen;voll.;10,088;5,669;4,419;124;72;52;775;414;361;899;486;413;938;509;429;658;313;345;6,939;4,004;2,935;654;357;297;7,593;4,361;3,232
------;Straftaten insgesamt;5113000;Essen;insg.;10,937;6,209;4,728;143;79;64;832;456;376;975;535;440;1,024;567;457;719;351;368;7,483;4,349;3,134;736;407;329;8,219;4,756;3,463
------;Straftaten insgesamt;6412000;Frankfurt am Main;vers.;949;687;262;6;4;2;41;25;16;47;29;18;62;43;19;52;35;17;728;545;183;60;35;25;788;580;208
------;Straftaten insgesamt;6412000;Frankfurt am Main;voll.;15,810;10,163;5,647;117;69;48;584;342;242;701;411;290;775;451;324;1,004;587;417;12,384;8,115;4,269;946;599;347;13,330;8,714;4,616
------;Straftaten insgesamt;6412000;Frankfurt am Main;insg.;16,759;10,850;5,909;123;73;50;625;367;258;748;440;308;837;494;343;1,056;622;434;13,112;8,660;4,452;1,006;634;372;14,118;9,294;4,824
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;vers.;349;247;102;1;1;0;10;7;3;11;8;3;22;16;6;30;25;5;259;183;76;27;15;12;286;198;88
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;voll.;4,427;2,939;1,488;37;19;18;172;82;90;209;101;108;236;148;88;344;210;134;3,388;2,330;1,058;250;150;100;3,638;2,480;1,158
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;insg.;4,776;3,186;1,590;38;20;18;182;89;93;220;109;111;258;164;94;374;235;139;3,647;2,513;1,134;277;165;112;3,924;2,678;1,246
------;Straftaten insgesamt;9563000;Fürth;vers.;94;55;39;1;0;1;4;4;0;5;4;1;7;3;4;7;4;3;69;39;30;6;5;1;75;44;31
------;Straftaten insgesamt;9563000;Fürth;voll.;1,281;717;564;19;12;7;88;52;36;107;64;43;138;81;57;82;46;36;876;484;392;78;42;36;954;526;428
------;Straftaten insgesamt;9563000;Fürth;insg.;1,375;772;603;20;12;8;92;56;36;112;68;44;145;84;61;89;50;39;945;523;422;84;47;37;1,029;570;459
------;Straftaten insgesamt;5513000;Gelsenkirchen;vers.;477;337;140;5;3;2;71;61;10;76;64;12;63;48;15;21;11;10;280;184;96;37;30;7;317;214;103
------;Straftaten insgesamt;5513000;Gelsenkirchen;voll.;6,101;3,367;2,734;68;32;36;607;376;231;675;408;267;630;352;278;404;192;212;4,070;2,228;1,842;322;187;135;4,392;2,415;1,977
------;Straftaten insgesamt;5513000;Gelsenkirchen;insg.;6,578;3,704;2,874;73;35;38;678;437;241;751;472;279;693;400;293;425;203;222;4,350;2,412;1,938;359;217;142;4,709;2,629;2,080
------;Straftaten insgesamt;3159016;Göttingen;vers.;214;139;75;2;1;1;9;5;4;11;6;5;8;3;5;6;4;2;168;117;51;21;9;12;189;126;63
------;Straftaten insgesamt;3159016;Göttingen;voll.;2,565;1,572;993;19;11;8;98;59;39;117;70;47;156;82;74;185;75;110;1,937;1,237;700;170;108;62;2,107;1,345;762
------;Straftaten insgesamt;3159016;Göttingen;insg.;2,779;1,711;1,068;21;12;9;107;64;43;128;76;52;164;85;79;191;79;112;2,105;1,354;751;191;117;74;2,296;1,471;825
------;Straftaten insgesamt;5754008;Gütersloh;vers.;145;80;65;3;1;2;11;7;4;14;8;6;11;4;7;4;2;2;102;59;43;14;7;7;116;66;50
------;Straftaten insgesamt;5754008;Gütersloh;voll.;1,466;848;618;13;6;7;78;39;39;91;45;46;98;62;36;99;64;35;1,086;614;472;92;63;29;1,178;677;501
------;Straftaten insgesamt;5754008;Gütersloh;insg.;1,611;928;683;16;7;9;89;46;43;105;53;52;109;66;43;103;66;37;1,188;673;515;106;70;36;1,294;743;551
------;Straftaten insgesamt;5914000;Hagen;vers.;324;190;134;6;3;3;25;12;13;31;15;16;26;18;8;32;23;9;214;122;92;21;12;9;235;134;101
------;Straftaten insgesamt;5914000;Hagen;voll.;3,920;2,246;1,674;33;20;13;326;173;153;359;193;166;353;203;150;259;147;112;2,737;1,558;1,179;212;145;67;2,949;1,703;1,246
------;Straftaten insgesamt;5914000;Hagen;insg.;4,244;2,436;1,808;39;23;16;351;185;166;390;208;182;379;221;158;291;170;121;2,951;1,680;1,271;233;157;76;3,184;1,837;1,347
------;Straftaten insgesamt;15002000;Halle (Saale);vers.;532;373;159;4;2;2;38;25;13;42;27;15;56;44;12;40;27;13;363;253;110;31;22;9;394;275;119
------;Straftaten insgesamt;15002000;Halle (Saale);voll.;6,157;3,801;2,356;65;35;30;539;317;222;604;352;252;665;400;265;458;295;163;4,124;2,570;1,554;306;184;122;4,430;2,754;1,676
------;Straftaten insgesamt;15002000;Halle (Saale);insg.;6,689;4,174;2,515;69;37;32;577;342;235;646;379;267;721;444;277;498;322;176;4,487;2,823;1,664;337;206;131;4,824;3,029;1,795
------;Straftaten insgesamt;2000000;Hamburg;vers.;2,110;1,474;636;13;8;5;128;90;38;141;98;43;137;99;38;118;86;32;1,575;1,109;466;139;82;57;1,714;1,191;523
------;Straftaten insgesamt;2000000;Hamburg;voll.;38,172;23,768;14,404;234;128;106;2,072;1,308;764;2,306;1,436;870;2,625;1,529;1,096;2,324;1,362;962;28,604;18,074;10,530;2,313;1,367;946;30,917;19,441;11,476
