1;2;;;3;4;4a;4b;5;5a;5b;6;6a;6b;7;7a;7b;8;8a;8b;9;9a;9b;10;10a;10b;11;11a;11b;12;12a;12b;13;13a;13b;14;14a;14b;15;15a;15b;16;16a;16b;17;17a;17b;18;18a;18b;19;19a;19b;20;20a;20b;21;21a;21b;22;22a;22b;23;23a;23b;24;24a;24b
Schluesselzahl der Tat;Straftat;Gemeindeschlüssel;Stadt;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt männlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre männlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre männlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre männlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre männlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre männlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt männlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre männlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre männlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - männlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre männlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - männlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre männlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre männlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - männlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - männlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - männlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - männlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - männlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - männlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - männlich;Erwachsene ab 21 Jahre - weiblich
------;Straftaten insgesamt;5314000;Bonn;vers.;337;211;126;3;1;2;4;3;1;6;0;6;6;3;3;9;7;2;28;14;14;14;9;5;17;12;5;31;21;10;25;19;6;84;54;30;14;6;8;21;11;10;35;17;18;35;23;12;58;30;28;54;36;18;51;39;12;20;12;8;253;157;96
------;Straftaten insgesamt;5314000;Bonn;insg.;5295;3098;2197;40;22;18;28;23;5;55;27;28;76;43;33;110;68;42;309;183;126;221;115;106;231;132;99;452;247;205;403;249;154;1164;679;485;298;153;145;321;169;152;619;322;297;622;367;255;1012;557;455;883;553;330;657;436;221;338;184;154;4131;2419;1712
------;Straftaten insgesamt;5512000;Bottrop;voll.;1150;626;524;9;6;3;4;2;2;5;4;1;17;4;13;28;15;13;63;31;32;51;25;26;59;30;29;110;55;55;108;64;44;281;150;131;83;61;22;70;36;34;153;97;56;131;64;67;216;111;105;187;101;86;95;57;38;87;46;41;869;476;393
------;Straftaten insgesamt;5512000;Bottrop;vers.;55;31;24;0;0;0;2;1;1;4;3;1;1;0;1;3;1;2;10;5;5;3;1;2;3;1;2;6;2;4;8;5;3;24;12;12;3;2;1;3;1;2;6;3;3;6;2;4;8;6;2;6;4;2;1;1;0;4;3;1;31;19;12
------;Straftaten insgesamt;5512000;Bottrop;insg.;1205;657;548;9;6;3;6;3;3;9;7;2;18;4;14;31;16;15;73;36;37;54;26;28;62;31;31;116;57;59;116;69;47;305;162;143;86;63;23;73;37;36;159;100;59;137;66;71;224;117;107;193;105;88;96;58;38;91;49;42;900;495;405
------;Straftaten insgesamt;3101000;Braunschweig;voll.;3810;2396;1414;24;9;15;15;8;7;30;18;12;54;37;17;95;43;52;218;115;103;132;53;79;164;99;65;296;152;144;411;251;160;925;518;407;270;189;81;248;171;77;518;360;158;525;337;188;793;510;283;520;327;193;345;229;116;184;115;69;2885;1878;1007
------;Straftaten insgesamt;3101000;Braunschweig;vers.;323;230;93;1;1;0;1;0;1;0;0;0;2;1;1;5;2;3;9;4;5;7;4;3;9;3;6;16;7;9;22;12;10;47;23;24;18;12;6;21;14;7;39;26;13;47;33;14;71;51;20;56;43;13;41;36;5;22;18;4;276;207;69
------;Straftaten insgesamt;3101000;Braunschweig;insg.;4133;2626;1507;25;10;15;16;8;8;30;18;12;56;38;18;100;45;55;227;119;108;139;57;82;173;102;71;312;159;153;433;263;170;972;541;431;288;201;87;269;185;84;557;386;171;572;370;202;864;561;303;576;370;206;386;265;121;206;133;73;3161;2085;1076
------;Straftaten insgesamt;4011000;Bremen;voll.;9992;5971;4021;64;40;24;29;17;12;46;23;23;101;47;54;162;78;84;402;205;197;287;165;122;421;273;148;708;438;270;991;589;402;2101;1232;869;688;423;265;778;461;317;1466;884;582;1531;914;617;1977;1216;761;1513;941;572;851;495;356;553;289;264;7891;4739;3152
------;Straftaten insgesamt;4011000;Bremen;vers.;693;412;281;2;1;1;7;3;4;5;2;3;7;3;4;15;9;6;36;18;18;21;13;8;42;25;17;63;38;25;50;32;18;149;88;61;34;20;14;34;18;16;68;38;30;90;52;38;145;95;50;119;79;40;67;33;34;55;27;28;544;324;220
------;Straftaten insgesamt;4011000;Bremen;insg.;10685;6383;4302;66;41;25;36;20;16;51;25;26;108;50;58;177;87;90;438;223;215;308;178;130;463;298;165;771;476;295;1041;621;420;2250;1320;930;722;443;279;812;479;333;1534;922;612;1621;966;655;2122;1311;811;1632;1020;612;918;528;390;608;316;292;8435;5063;3372
------;Straftaten insgesamt;4012000;Bremerhaven;voll.;2157;1218;939;19;12;7;14;11;3;20;10;10;19;11;8;56;32;24;128;76;52;78;42;36;81;34;47;159;76;83;190;77;113;477;229;248;127;70;57;156;88;68;283;158;125;325;181;144;420;270;150;345;194;151;183;117;66;124;69;55;1680;989;691
------;Straftaten insgesamt;4012000;Bremerhaven;vers.;135;91;44;2;2;0;0;0;0;0;0;0;3;0;3;1;1;0;6;3;3;4;4;0;5;4;1;9;8;1;10;6;4;25;17;8;5;4;1;7;5;2;12;9;3;15;11;4;28;21;7;26;21;5;16;6;10;13;6;7;110;74;36
------;Straftaten insgesamt;4012000;Bremerhaven;insg.;2292;1309;983;21;14;7;14;11;3;20;10;10;22;11;11;57;33;24;134;79;55;82;46;36;86;38;48;168;84;84;200;83;117;502;246;256;132;74;58;163;93;70;295;167;128;340;192;148;448;291;157;371;215;156;199;123;76;137;75;62;1790;1063;727
------;Straftaten insgesamt;14511000;Chemnitz;voll.;2651;1599;1052;33;16;17;24;9;15;19;10;9;29;17;12;69;27;42;174;79;95;75;35;40;97;55;42;172;90;82;193;128;65;539;297;242;133;83;50;185;120;65;318;203;115;442;281;161;586;371;215;347;213;134;237;140;97;182;94;88;2112;1302;810
------;Straftaten insgesamt;14511000;Chemnitz;vers.;176;119;57;3;2;1;1;0;1;0;0;0;0;0;0;4;2;2;8;4;4;3;0;3;2;2;0;5;2;3;8;6;2;21;12;9;5;4;1;9;3;6;14;7;7;29;22;7;45;35;10;28;19;9;25;17;8;14;7;7;155;107;48
------;Straftaten insgesamt;14511000;Chemnitz;insg.;2827;1718;1109;36;18;18;25;9;16;19;10;9;29;17;12;73;29;44;182;83;99;78;35;43;99;57;42;177;92;85;201;134;67;560;309;251;138;87;51;194;123;71;332;210;122;471;303;168;631;406;225;375;232;143;262;157;105;196;101;95;2267;1409;858
------;Straftaten insgesamt;6411000;Darmstadt;voll.;1459;845;614;9;6;3;7;5;2;5;2;3;10;6;4;21;8;13;52;27;25;25;13;12;73;44;29;98;57;41;137;83;54;287;167;120;102;52;50;101;53;48;203;105;98;225;145;80;317;185;132;241;131;110;122;74;48;64;38;26;1172;678;494
------;Straftaten insgesamt;6411000;Darmstadt;vers.;83;61;22;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;0;0;0;0;3;1;2;3;1;2;9;7;2;14;10;4;6;5;1;3;1;2;9;6;3;7;5;2;23;18;5;9;6;3;14;11;3;7;5;2;69;51;18
------;Straftaten insgesamt;6411000;Darmstadt;insg.;1542;906;636;10;7;3;7;5;2;5;2;3;10;6;4;22;9;13;54;29;25;25;13;12;76;45;31;101;58;43;146;90;56;301;177;124;108;57;51;104;54;50;212;111;101;232;150;82;340;203;137;250;137;113;136;85;51;71;43;28;1241;729;512
