1;2;;;3;4;4a;4b;5;5a;5b;6;6a;6b;7;7a;7b;8;8a;8b;9;9a;9b;10;10a;10b;11;11a;11b;12;12a;12b;13;13a;13b;14;14a;14b;15;15a;15b;16;16a;16b;17;17a;17b;18;18a;18b;19;19a;19b;20;20a;20b;21;21a;21b;22;22a;22b;23;23a;23b;24;24a;24b
Schluesselzahl der Tat;Straftat;Gemeindeschlüssel;Stadt;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt männlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre männlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre männlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre männlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre männlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre männlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt männlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre männlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre männlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - männlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre männlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - männlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre männlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre männlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - männlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - männlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - männlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - männlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - männlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - männlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - männlich;Erwachsene ab 21 Jahre - weiblich
219000;Raubüberfälle in Wohnungen;5774032;Paderborn;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219000;Raubüberfälle in Wohnungen;5774032;Paderborn;insg.;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;1;0;1;5;4;1
219000;Raubüberfälle in Wohnungen;8231000;Pforzheim;voll.;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;1;2;0;0;0;0;0;0;0;0;0;4;2;2
219000;Raubüberfälle in Wohnungen;8231000;Pforzheim;vers.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0
219000;Raubüberfälle in Wohnungen;8231000;Pforzheim;insg.;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;4;2;2;0;0;0;0;0;0;0;0;0;5;3;2
219000;Raubüberfälle in Wohnungen;12054000;Potsdam;voll.;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;2;2;0
219000;Raubüberfälle in Wohnungen;12054000;Potsdam;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219000;Raubüberfälle in Wohnungen;12054000;Potsdam;insg.;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;2;2;0
219000;Raubüberfälle in Wohnungen;5562032;Recklinghausen;voll.;10;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;2;2;0;3;3;0;2;1;1;9;8;1
219000;Raubüberfälle in Wohnungen;5562032;Recklinghausen;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219000;Raubüberfälle in Wohnungen;5562032;Recklinghausen;insg.;10;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;2;2;0;3;3;0;2;1;1;9;8;1
219000;Raubüberfälle in Wohnungen;9362000;Regensburg;voll.;9;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;3;2;1;3;3;0;0;0;0;1;0;1;8;6;2
219000;Raubüberfälle in Wohnungen;9362000;Regensburg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219000;Raubüberfälle in Wohnungen;9362000;Regensburg;insg.;9;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;3;2;1;3;3;0;0;0;0;1;0;1;8;6;2
219000;Raubüberfälle in Wohnungen;5120000;Remscheid;voll.;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;3;2;1
219000;Raubüberfälle in Wohnungen;5120000;Remscheid;vers.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;2;1;1
219000;Raubüberfälle in Wohnungen;5120000;Remscheid;insg.;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;5;3;2
219000;Raubüberfälle in Wohnungen;8415061;Reutlingen;voll.;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;4;3;1
219000;Raubüberfälle in Wohnungen;8415061;Reutlingen;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219000;Raubüberfälle in Wohnungen;8415061;Reutlingen;insg.;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;4;3;1
219000;Raubüberfälle in Wohnungen;13003000;Rostock;voll.;23;15;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;1;1;3;1;2;3;2;1;1;1;0;4;3;1;9;8;1;0;0;0;4;2;2;1;0;1;2;1;1;20;14;6
219000;Raubüberfälle in Wohnungen;13003000;Rostock;vers.;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;2;2;0
219000;Raubüberfälle in Wohnungen;13003000;Rostock;insg.;25;17;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;1;1;3;1;2;3;2;1;1;1;0;4;3;1;9;8;1;1;1;0;4;2;2;2;1;1;2;1;1;22;16;6
219000;Raubüberfälle in Wohnungen;10041100;Saarbrücken;voll.;12;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;1;1;0;5;5;0;1;1;0;3;2;1;1;1;0;0;0;0;11;10;1
219000;Raubüberfälle in Wohnungen;10041100;Saarbrücken;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219000;Raubüberfälle in Wohnungen;10041100;Saarbrücken;insg.;12;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;1;1;0;5;5;0;1;1;0;3;2;1;1;1;0;0;0;0;11;10;1
219000;Raubüberfälle in Wohnungen;5122000;Solingen;voll.;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1;1;0;0;0;0;4;2;2
219000;Raubüberfälle in Wohnungen;5122000;Solingen;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219000;Raubüberfälle in Wohnungen;5122000;Solingen;insg.;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;1;1;0;0;0;0;4;2;2
219000;Raubüberfälle in Wohnungen;8111000;Stuttgart;voll.;13;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;1;1;0;2;1;1;2;1;1;0;0;0;3;3;0;4;3;1;1;1;0;12;9;3
219000;Raubüberfälle in Wohnungen;8111000;Stuttgart;vers.;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;3;0;0;0;0;1;0;1;5;3;2
219000;Raubüberfälle in Wohnungen;8111000;Stuttgart;insg.;18;13;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;1;1;0;2;1;1;2;1;1;1;0;1;6;6;0;4;3;1;2;1;1;17;12;5
219000;Raubüberfälle in Wohnungen;7211000;Trier;voll.;6;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;2;1;1;1;1;0;2;2;0;3;3;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;4;3;1
219000;Raubüberfälle in Wohnungen;7211000;Trier;vers.;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;2;1;1;4;2;2
219000;Raubüberfälle in Wohnungen;7211000;Trier;insg.;10;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;0;2;1;1;1;1;0;2;2;0;3;3;0;1;0;1;0;0;0;2;1;1;0;0;0;2;1;1;8;5;3
219000;Raubüberfälle in Wohnungen;8421000;Ulm;voll.;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;3;1;2
219000;Raubüberfälle in Wohnungen;8421000;Ulm;vers.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0
219000;Raubüberfälle in Wohnungen;8421000;Ulm;insg.;5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;0;1;1;0;1;1;0;4;2;2
219000;Raubüberfälle in Wohnungen;6414000;Wiesbaden;voll.;9;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;2;1;1;4;4;0;8;5;3
219000;Raubüberfälle in Wohnungen;6414000;Wiesbaden;vers.;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;1;0;1;0;1;4;3;1
219000;Raubüberfälle in Wohnungen;6414000;Wiesbaden;insg.;13;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;2;1;1;3;2;1;5;4;1;12;8;4
219000;Raubüberfälle in Wohnungen;3103000;Wolfsburg;voll.;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;3;2;1
219000;Raubüberfälle in Wohnungen;3103000;Wolfsburg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219000;Raubüberfälle in Wohnungen;3103000;Wolfsburg;insg.;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;3;2;1
219000;Raubüberfälle in Wohnungen;5124000;Wuppertal;voll.;19;14;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;4;3;1;2;2;0;0;0;0;2;2;0;0;0;0;8;5;3;3;3;0;0;0;0;2;1;1;15;11;4
219000;Raubüberfälle in Wohnungen;5124000;Wuppertal;vers.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;1;1
219000;Raubüberfälle in Wohnungen;5124000;Wuppertal;insg.;21;15;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;4;3;1;3;2;1;0;0;0;3;2;1;0;0;0;8;5;3;4;4;0;0;0;0;2;1;1;17;12;5
219000;Raubüberfälle in Wohnungen;9663000;Würzburg;voll.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
219000;Raubüberfälle in Wohnungen;9663000;Würzburg;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219000;Raubüberfälle in Wohnungen;9663000;Würzburg;insg.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5334002;Aachen;voll.;784;579;205;2;2;0;0;0;0;0;0;0;7;7;0;6;6;0;15;15;0;27;19;8;51;34;17;78;53;25;118;77;41;211;145;66;77;61;16;76;64;12;153;125;28;109;80;29;145;105;40;78;62;16;53;38;15;35;24;11;573;434;139
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5334002;Aachen;vers.;108;78;30;0;0;0;2;1;1;2;0;2;1;1;0;2;1;1;7;3;4;2;2;0;3;3;0;5;5;0;6;4;2;18;12;6;5;5;0;7;6;1;12;11;1;16;11;5;27;19;8;17;14;3;12;8;4;6;3;3;90;66;24
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5334002;Aachen;insg.;892;657;235;2;2;0;2;1;1;2;0;2;8;8;0;8;7;1;22;18;4;29;21;8;54;37;17;83;58;25;124;81;43;229;157;72;82;66;16;83;70;13;165;136;29;125;91;34;172;124;48;95;76;19;65;46;19;41;27;14;663;500;163
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;9761000;Augsburg;voll.;592;450;142;0;0;0;3;1;2;4;3;1;8;6;2;12;5;7;27;15;12;21;12;9;35;30;5;56;42;14;94;76;18;177;133;44;55;48;7;58;46;12;113;94;19;90;73;17;101;76;25;69;51;18;23;13;10;19;10;9;415;317;98
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;9761000;Augsburg;vers.;138;114;24;1;0;1;0;0;0;2;2;0;3;3;0;2;1;1;8;6;2;4;4;0;7;6;1;11;10;1;5;5;0;24;21;3;11;9;2;9;7;2;20;16;4;25;18;7;36;30;6;16;12;4;14;14;0;3;3;0;114;93;21
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;9761000;Augsburg;insg.;730;564;166;1;0;1;3;1;2;6;5;1;11;9;2;14;6;8;35;21;14;25;16;9;42;36;6;67;52;15;99;81;18;201;154;47;66;57;9;67;53;14;133;110;23;115;91;24;137;106;31;85;63;22;37;27;10;22;13;9;529;410;119
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5378004;Bergisch Gladbach;voll.;127;92;35;1;0;1;0;0;0;0;0;0;2;2;0;3;2;1;6;4;2;7;4;3;4;4;0;11;8;3;13;10;3;30;22;8;10;8;2;6;4;2;16;12;4;23;17;6;22;16;6;20;15;5;8;5;3;8;5;3;97;70;27
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5378004;Bergisch Gladbach;vers.;15;7;8;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;2;0;2;0;0;0;0;0;0;0;0;0;1;1;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;3;3;0;3;1;2;4;1;3;12;6;6
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5378004;Bergisch Gladbach;insg.;142;99;43;1;0;1;1;0;1;0;0;0;2;2;0;4;2;2;8;4;4;7;4;3;4;4;0;11;8;3;14;11;3;33;23;10;10;8;2;6;4;2;16;12;4;23;17;6;24;17;7;23;18;5;11;6;5;12;6;6;109;76;33
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;11000000;Berlin;voll.;9845;7335;2510;38;16;22;43;27;16;87;66;21;136;98;38;206;114;92;510;321;189;349;211;138;460;343;117;809;554;255;923;705;218;2242;1580;662;547;411;136;655;495;160;1202;906;296;1467;1103;364;2418;1889;529;1384;1050;334;747;541;206;385;266;119;7603;5755;1848
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;11000000;Berlin;vers.;2311;1699;612;24;16;8;7;5;2;20;14;6;40;29;11;30;15;15;121;79;42;49;31;18;49;30;19;98;61;37;121;74;47;340;214;126;79;51;28;110;81;29;189;132;57;305;225;80;693;562;131;389;287;102;277;210;67;118;69;49;1971;1485;486
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;11000000;Berlin;insg.;12156;9034;3122;62;32;30;50;32;18;107;80;27;176;127;49;236;129;107;631;400;231;398;242;156;509;373;136;907;615;292;1044;779;265;2582;1794;788;626;462;164;765;576;189;1391;1038;353;1772;1328;444;3111;2451;660;1773;1337;436;1024;751;273;503;335;168;9574;7240;2334
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5711000;Bielefeld;voll.;514;368;146;0;0;0;0;0;0;2;2;0;4;3;1;7;3;4;13;8;5;18;8;10;29;20;9;47;28;19;74;55;19;134;91;43;49;39;10;36;25;11;85;64;21;76;57;19;106;75;31;68;50;18;26;18;8;19;13;6;380;277;103
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5711000;Bielefeld;vers.;97;79;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;0;3;3;0;3;1;2;6;4;2;1;1;0;7;5;2;8;6;2;15;11;4;43;39;4;15;11;4;8;6;2;2;2;0;91;75;16
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5711000;Bielefeld;insg.;611;447;164;0;0;0;0;0;0;2;2;0;4;3;1;7;3;4;13;8;5;19;9;10;31;22;9;50;31;19;77;56;21;140;95;45;50;40;10;43;30;13;93;70;23;91;68;23;149;114;35;83;61;22;34;24;10;21;15;6;471;352;119
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5911000;Bochum;voll.;865;618;247;3;1;2;2;1;1;4;3;1;6;4;2;11;6;5;26;15;11;26;11;15;46;31;15;72;42;30;106;79;27;204;136;68;88;66;22;83;59;24;171;125;46;126;96;30;161;122;39;124;85;39;58;40;18;21;14;7;661;482;179
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5911000;Bochum;vers.;166;135;31;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;3;2;1;2;2;0;3;3;0;5;5;0;7;6;1;15;13;2;4;3;1;19;18;1;23;21;2;30;24;6;37;27;10;26;22;4;23;19;4;12;9;3;151;122;29
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5911000;Bochum;insg.;1031;753;278;3;1;2;3;2;1;5;4;1;7;4;3;11;6;5;29;17;12;28;13;15;49;34;15;77;47;30;113;85;28;219;149;70;92;69;23;102;77;25;194;146;48;156;120;36;198;149;49;150;107;43;81;59;22;33;23;10;812;604;208
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5314000;Bonn;voll.;794;549;245;4;3;1;3;3;0;7;4;3;13;10;3;19;15;4;46;35;11;33;26;7;32;21;11;65;47;18;87;64;23;198;146;52;55;35;20;71;47;24;126;82;44;93;66;27;170;110;60;126;87;39;52;37;15;29;21;8;596;403;193
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5314000;Bonn;vers.;84;62;22;0;0;0;1;1;0;1;0;1;1;0;1;1;1;0;4;2;2;0;0;0;0;0;0;0;0;0;3;2;1;7;4;3;2;1;1;9;5;4;11;6;5;13;10;3;15;11;4;17;14;3;15;13;2;6;4;2;77;58;19
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5314000;Bonn;insg.;878;611;267;4;3;1;4;4;0;8;4;4;14;10;4;20;16;4;50;37;13;33;26;7;32;21;11;65;47;18;90;66;24;205;150;55;57;36;21;80;52;28;137;88;49;106;76;30;185;121;64;143;101;42;67;50;17;35;25;10;673;461;212
