1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68
Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt maennlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre maennlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre maennlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre maennlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre maennlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre maennlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt maennlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre maennlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre maennlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - maennlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre maennlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - maennlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre maennlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre maennlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - maennlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - maennlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - maennlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - maennlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - maennlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - maennlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - maennlich;Erwachsene ab 21 Jahre - weiblich
------;Straftaten insgesamt;9562000;Erlangen;voll.;1,002;580;422;6;2;4;10;4;6;6;4;2;11;6;5;25;7;18;58;23;35;24;10;14;60;35;25;84;45;39;143;88;55;285;156;129;59;40;19;78;39;39;137;79;58;147;93;54;171;110;61;121;65;56;88;50;38;53;27;26;717;424;293
------;Straftaten insgesamt;5113000;Essen;voll.;7,127;3,942;3,185;44;20;24;38;26;12;63;41;22;110;68;42;166;85;81;421;240;181;244;131;113;283;139;144;527;270;257;583;321;262;1,531;831;700;441;240;201;467;238;229;908;478;430;1,085;594;491;1,447;771;676;1,031;567;464;712;473;239;413;228;185;5,596;3,111;2,485
------;Straftaten insgesamt;6412000;Frankfurt am Main;voll.;11,399;7,245;4,154;105;70;35;35;25;10;69;40;29;80;50;30;154;83;71;443;268;175;204;110;94;300;168;132;504;278;226;776;466;310;1,723;1,012;711;684;410;274;651;415;236;1,335;825;510;1,813;1,147;666;3,029;1,979;1,050;1,724;1,122;602;1,119;757;362;656;403;253;9,676;6,233;3,443
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;voll.;4,201;2,850;1,351;43;27;16;15;7;8;24;13;11;38;23;15;79;39;40;199;109;90;116;68;48;194;131;63;310;199;111;391;265;126;900;573;327;334;239;95;295;202;93;629;441;188;608;416;192;928;648;280;605;409;196;338;235;103;193;128;65;3,301;2,277;1,024
------;Straftaten insgesamt;9563000;Fürth;voll.;940;528;412;15;7;8;7;4;3;8;2;6;29;16;13;40;16;24;99;45;54;32;16;16;46;24;22;78;40;38;59;35;24;236;120;116;44;25;19;45;24;21;89;49;40;132;83;49;218;126;92;122;65;57;96;56;40;47;29;18;704;408;296
------;Straftaten insgesamt;5513000;Gelsenkirchen;voll.;4,444;2,384;2,060;31;22;9;14;8;6;40;25;15;77;49;28;143;79;64;305;183;122;149;72;77;193;100;93;342;172;170;348;184;164;995;539;456;247;117;130;261;129;132;508;246;262;602;342;260;905;473;432;697;388;309;445;248;197;292;148;144;3,449;1,845;1,604
------;Straftaten insgesamt;3159016;Göttingen;voll.;2,068;1,308;760;17;10;7;16;9;7;16;11;5;23;12;11;32;11;21;104;53;51;49;28;21;116;63;53;165;91;74;201;126;75;470;270;200;151;92;59;168;117;51;319;209;110;338;216;122;370;232;138;270;176;94;191;132;59;110;73;37;1,598;1,038;560
------;Straftaten insgesamt;5914000;Hagen;voll.;2,950;1,620;1,330;21;9;12;17;11;6;33;20;13;47;29;18;77;33;44;195;102;93;132;48;84;150;93;57;282;141;141;258;154;104;735;397;338;165;87;78;184;99;85;349;186;163;474;257;217;576;296;280;357;210;147;300;184;116;159;90;69;2,215;1,223;992
------;Straftaten insgesamt;15002000;Halle (Saale);voll.;4,900;2,960;1,940;71;45;26;37;10;27;104;51;53;94;47;47;145;74;71;451;227;224;194;102;92;235;152;83;429;254;175;519;312;207;1,399;793;606;253;159;94;244;165;79;497;324;173;670;426;244;1,168;710;458;600;378;222;357;219;138;209;110;99;3,501;2,167;1,334
------;Straftaten insgesamt;2000000;Hamburg;voll.;32,198;19,640;12,558;225;126;99;167;93;74;260;157;103;455;307;148;759;432;327;1,866;1,115;751;978;524;454;1,301;719;582;2,279;1,243;1,036;2,550;1,570;980;6,695;3,928;2,767;1,770;1,132;638;1,829;1,121;708;3,599;2,253;1,346;4,575;2,852;1,723;7,661;4,661;3,000;4,837;2,973;1,864;3,116;2,001;1,115;1,715;972;743;25,503;15,712;9,791
