Schluesselzahl der Tat;Straftat;Gemeindeschlüssel;Stadt;Sexus;Tatverdaechtige insgesamt - Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder bis unter 14 Jahre insgesamt (Anzahl Spalte 5 bis 9);Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt (Anzahl Spalte 11 und 12);Heranwachsende 18 bis unter 21 Jahre - Anzahl;Tatverdaechtige insgesamt unter 21 Jahre (Anzahl Spalte 10, 13 und 14);Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 21 bis unter 25 Jahre (Anzahl Spalte 16 und 17);Erwachsene 25 bis unter 30 Jahre;Erwachsene 30 bis unter 40 Jahre;Erwachsene 40 bis unter 50 Jahre;Erwachsene 50 bis unter 60 Jahre;Erwachsene 60 Jahre und aelter;Erwachsene ab 21 Jahre (Anzahl Spalten 18 bis 23)
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;13003000;Rostock;W;49;0;0;0;0;2;2;3;6;9;4;15;6;1;7;10;7;5;3;2;34
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;13003000;Rostock;X;373;0;0;1;10;13;24;19;23;42;39;105;28;30;58;74;77;32;19;8;268
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;10041100;Saarbrücken;M;529;0;0;3;3;8;14;22;42;64;78;156;39;46;85;88;110;53;22;15;373
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;10041100;Saarbrücken;W;110;0;0;0;1;1;2;5;8;13;11;26;6;9;15;13;24;18;10;4;84
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;10041100;Saarbrücken;X;639;0;0;3;4;9;16;27;50;77;89;182;45;55;100;101;134;71;32;19;457
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5122000;Solingen;M;236;0;0;1;6;7;14;17;24;41;30;85;15;21;36;26;38;32;13;6;151
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5122000;Solingen;W;50;0;0;1;1;3;5;3;3;6;6;17;6;2;8;4;7;11;2;1;33
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5122000;Solingen;X;286;0;0;2;7;10;19;20;27;47;36;102;21;23;44;30;45;43;15;7;184
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;8111000;Stuttgart;M;1615;1;5;10;10;30;56;50;99;149;212;417;145;145;290;291;328;181;65;43;1198
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;8111000;Stuttgart;W;254;0;0;4;7;12;23;18;16;34;25;82;14;11;25;36;46;38;13;14;172
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;8111000;Stuttgart;X;1869;1;5;14;17;42;79;68;115;183;237;499;159;156;315;327;374;219;78;57;1370
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;7211000;Trier;M;241;0;0;0;4;5;9;6;18;24;37;70;26;29;55;36;45;25;6;4;171
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;7211000;Trier;W;46;0;0;0;1;0;1;4;4;8;3;12;2;7;9;7;6;6;4;2;34
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;7211000;Trier;X;287;0;0;0;5;5;10;10;22;32;40;82;28;36;64;43;51;31;10;6;205
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;8421000;Ulm;M;241;0;1;2;2;2;7;13;27;40;28;75;26;19;45;35;36;28;11;11;166
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;8421000;Ulm;W;40;0;0;0;0;4;4;0;3;3;8;15;1;0;1;7;5;8;3;1;25
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;8421000;Ulm;X;281;0;1;2;2;6;11;13;30;43;36;90;27;19;46;42;41;36;14;12;191
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;6414000;Wiesbaden;M;689;0;2;5;11;24;42;28;47;75;114;231;63;45;108;98;104;85;39;24;458
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;6414000;Wiesbaden;W;133;0;0;0;4;9;13;18;14;32;10;55;3;7;10;17;18;12;13;8;78
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;6414000;Wiesbaden;X;822;0;2;5;15;33;55;46;61;107;124;286;66;52;118;115;122;97;52;32;536
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;3103000;Wolfsburg;M;211;0;0;1;2;3;6;11;21;32;36;74;23;25;48;39;31;8;6;5;137
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;3103000;Wolfsburg;W;40;0;0;0;0;3;3;9;3;12;3;18;3;1;4;4;8;2;1;3;22
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;3103000;Wolfsburg;X;251;0;0;1;2;6;9;20;24;44;39;92;26;26;52;43;39;10;7;8;159
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5124000;Wuppertal;M;682;0;1;3;6;20;30;36;56;92;75;197;52;48;100;100;143;90;41;11;485
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5124000;Wuppertal;W;149;0;0;0;0;4;4;16;15;31;10;45;14;10;24;13;28;17;13;9;104
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5124000;Wuppertal;X;831;0;1;3;6;24;34;52;71;123;85;242;66;58;124;113;171;107;54;20;589
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;9663000;Würzburg;M;236;0;0;0;1;0;1;7;20;27;42;70;38;18;56;42;37;18;9;4;166
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;9663000;Würzburg;W;43;0;0;0;0;0;0;1;8;9;2;11;6;2;8;4;7;9;1;3;32
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;9663000;Würzburg;X;279;0;0;0;1;0;1;8;28;36;44;81;44;20;64;46;44;27;10;7;198
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5334002;Aachen;M;1033;0;0;0;5;7;12;22;56;78;106;196;58;75;133;136;219;189;104;56;837
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5334002;Aachen;W;230;0;0;1;2;4;7;7;14;21;26;54;24;16;40;34;35;47;10;10;176
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5334002;Aachen;X;1263;0;0;1;7;11;19;29;70;99;132;250;82;91;173;170;254;236;114;66;1013
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9761000;Augsburg;M;1607;0;0;4;6;12;22;41;52;93;171;286;141;122;263;250;341;266;138;63;1321
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9761000;Augsburg;W;368;0;1;0;2;5;8;14;16;30;36;74;26;28;54;44;79;61;38;18;294
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9761000;Augsburg;X;1975;0;1;4;8;17;30;55;68;123;207;360;167;150;317;294;420;327;176;81;1615
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5378004;Bergisch Gladbach;M;283;0;0;0;3;7;10;11;10;21;22;53;17;16;33;36;61;52;32;16;230
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5378004;Bergisch Gladbach;W;80;0;0;0;0;1;1;9;2;11;9;21;2;6;8;10;17;15;8;1;59
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5378004;Bergisch Gladbach;X;363;0;0;0;3;8;11;20;12;32;31;74;19;22;41;46;78;67;40;17;289
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;11000000;Berlin;M;16240;1;35;91;161;281;569;421;487;908;905;2382;742;876;1618;2289;4241;3140;1760;810;13858
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;11000000;Berlin;W;4123;0;6;12;28;88;134;164;164;328;251;713;207;229;436;584;1075;742;367;206;3410
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;11000000;Berlin;X;20363;1;41;103;189;369;703;585;651;1236;1156;3095;949;1105;2054;2873;5316;3882;2127;1016;17268
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5711000;Bielefeld;M;1183;0;1;1;3;15;20;25;50;75;89;184;85;78;163;188;287;217;92;52;999
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5711000;Bielefeld;W;239;0;0;0;0;5;5;6;9;15;23;43;15;9;24;37;56;43;21;15;196
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5711000;Bielefeld;X;1422;0;1;1;3;20;25;31;59;90;112;227;100;87;187;225;343;260;113;67;1195
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5911000;Bochum;M;1696;0;3;2;8;25;38;48;59;107;138;283;114;118;232;257;366;320;162;76;1413
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5911000;Bochum;W;393;0;0;0;1;1;2;16;18;34;35;71;26;25;51;49;96;79;32;15;322
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5911000;Bochum;X;2089;0;3;2;9;26;40;64;77;141;173;354;140;143;283;306;462;399;194;91;1735
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5314000;Bonn;M;1271;0;4;4;4;10;22;42;60;102;96;220;65;63;128;163;301;254;125;80;1051
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5314000;Bonn;W;317;0;0;0;0;5;5;21;21;42;17;64;18;18;36;43;74;65;22;13;253
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5314000;Bonn;X;1588;0;4;4;4;15;27;63;81;144;113;284;83;81;164;206;375;319;147;93;1304
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5512000;Bottrop;M;319;0;0;2;0;2;4;10;9;19;28;51;25;22;47;40;69;66;26;20;268
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5512000;Bottrop;W;84;0;0;0;1;1;2;5;6;11;9;22;4;6;10;8;21;11;10;2;62
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5512000;Bottrop;X;403;0;0;2;1;3;6;15;15;30;37;73;29;28;57;48;90;77;36;22;330
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;3101000;Braunschweig;M;1153;0;1;1;6;11;19;33;42;75;107;201;90;110;200;148;265;171;113;55;952
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;3101000;Braunschweig;W;268;0;1;1;4;7;13;16;12;28;28;69;11;18;29;37;51;50;25;7;199
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;3101000;Braunschweig;X;1421;0;2;2;10;18;32;49;54;103;135;270;101;128;229;185;316;221;138;62;1151
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;4011000;Bremen;M;2508;3;2;1;17;19;42;49;89;138;199;379;172;210;382;393;603;426;211;114;2129
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;4011000;Bremen;W;528;0;0;1;5;10;16;23;29;52;45;113;36;43;79;69;120;81;48;18;415
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;4011000;Bremen;X;3036;3;2;2;22;29;58;72;118;190;244;492;208;253;461;462;723;507;259;132;2544
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;4012000;Bremerhaven;M;611;1;0;2;5;8;16;32;14;46;43;105;38;37;75;106;146;120;39;20;506
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;4012000;Bremerhaven;W;117;0;0;0;1;1;2;15;2;17;16;35;8;5;13;22;17;15;11;4;82
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;4012000;Bremerhaven;X;728;1;0;2;6;9;18;47;16;63;59;140;46;42;88;128;163;135;50;24;588
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;14511000;Chemnitz;M;590;0;0;5;8;8;21;10;14;24;42;87;31;38;69;112;156;88;51;27;503
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;14511000;Chemnitz;W;132;0;0;0;0;2;2;8;4;12;11;25;8;10;18;24;28;12;11;14;107
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;14511000;Chemnitz;X;722;0;0;5;8;10;23;18;18;36;53;112;39;48;87;136;184;100;62;41;610
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;6411000;Darmstadt;M;383;0;0;0;0;0;0;3;14;17;36;53;28;30;58;53;89;74;41;15;330
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;6411000;Darmstadt;W;75;0;0;0;0;1;1;3;4;7;7;15;1;4;5;8;17;19;7;4;60
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;6411000;Darmstadt;X;458;0;0;0;0;1;1;6;18;24;43;68;29;34;63;61;106;93;48;19;390
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5913000;Dortmund;M;2782;1;2;17;20;39;79;50;99;149;258;486;176;197;373;436;650;468;248;121;2296
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5913000;Dortmund;W;661;0;1;1;0;13;15;34;40;74;58;147;48;36;84;93;158;95;50;34;514
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5913000;Dortmund;X;3443;1;3;18;20;52;94;84;139;223;316;633;224;233;457;529;808;563;298;155;2810
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;14612000;Dresden;M;1246;0;1;2;9;25;37;17;36;53;65;155;62;96;158;211;346;228;100;48;1091
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;14612000;Dresden;W;240;0;0;0;0;8;8;7;8;15;13;36;15;13;28;37;61;33;33;12;204
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;14612000;Dresden;X;1486;0;1;2;9;33;45;24;44;68;78;191;77;109;186;248;407;261;133;60;1295
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5112000;Duisburg;M;2141;0;2;6;18;43;69;63;68;131;157;357;107;110;217;273;543;444;201;106;1784
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5112000;Duisburg;W;519;0;0;1;6;15;22;29;27;56;36;114;31;34;65;72;99;101;43;25;405
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5112000;Duisburg;X;2660;0;2;7;24;58;91;92;95;187;193;471;138;144;282;345;642;545;244;131;2189
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5111000;Düsseldorf;M;2906;0;1;4;20;31;56;72;107;179;271;506;203;215;418;408;685;517;247;125;2400
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5111000;Düsseldorf;W;614;0;0;0;2;10;12;36;28;64;60;136;49;40;89;92;122;92;56;27;478
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5111000;Düsseldorf;X;3520;0;1;4;22;41;68;108;135;243;331;642;252;255;507;500;807;609;303;152;2878
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;16051000;Erfurt;M;1032;0;8;5;14;35;62;23;36;59;58;179;63;62;125;170;254;158;90;56;853
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;16051000;Erfurt;W;284;0;0;0;3;15;18;8;16;24;23;65;19;12;31;34;79;40;19;16;219
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;16051000;Erfurt;X;1316;0;8;5;17;50;80;31;52;83;81;244;82;74;156;204;333;198;109;72;1072
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9562000;Erlangen;M;399;0;0;0;2;2;4;13;21;34;54;92;32;36;68;67;76;56;30;10;307
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9562000;Erlangen;W;90;0;0;0;0;1;1;8;4;12;9;22;7;2;9;15;13;22;6;3;68
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9562000;Erlangen;X;489;0;0;0;2;3;5;21;25;46;63;114;39;38;77;82;89;78;36;13;375
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5113000;Essen;M;1901;0;1;6;15;32;54;68;82;150;138;342;115;95;210;259;455;369;184;82;1559
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5113000;Essen;W;455;0;0;0;2;19;21;26;19;45;28;94;24;20;44;56;105;89;41;26;361
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5113000;Essen;X;2356;0;1;6;17;51;75;94;101;195;166;436;139;115;254;315;560;458;225;108;1920
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;6412000;Frankfurt am Main;M;2799;1;0;2;4;20;27;29;81;110;144;281;140;185;325;421;784;561;276;151;2518
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;6412000;Frankfurt am Main;W;564;0;0;0;0;1;1;10;18;28;33;62;27;34;61;65;172;128;48;28;502
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;6412000;Frankfurt am Main;X;3363;1;0;2;4;21;28;39;99;138;177;343;167;219;386;486;956;689;324;179;3020
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8311000;Freiburg im Breisgau;M;1235;0;1;4;7;9;21;35;65;100;110;231;86;91;177;169;286;196;127;49;1004
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8311000;Freiburg im Breisgau;W;294;0;0;0;1;8;9;12;12;24;34;67;15;16;31;39;61;58;22;16;227
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8311000;Freiburg im Breisgau;X;1529;0;1;4;8;17;30;47;77;124;144;298;101;107;208;208;347;254;149;65;1231
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9563000;Fürth;M;337;0;0;3;2;7;12;12;19;31;24;67;21;25;46;44;56;82;29;13;270
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9563000;Fürth;W;91;0;0;0;0;2;2;6;4;10;6;18;5;3;8;10;22;21;9;3;73
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9563000;Fürth;X;428;0;0;3;2;9;14;18;23;41;30;85;26;28;54;54;78;103;38;16;343
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5513000;Gelsenkirchen;M;1251;0;2;3;10;25;40;53;54;107;83;230;66;74;140;167;283;273;118;40;1021
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5513000;Gelsenkirchen;W;322;0;0;1;3;11;15;18;23;41;17;73;16;22;38;31;77;61;29;13;249
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5513000;Gelsenkirchen;X;1573;0;2;4;13;36;55;71;77;148;100;303;82;96;178;198;360;334;147;53;1270
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;3152012;Göttingen;M;577;0;1;2;3;9;15;28;21;49;51;115;50;52;102;88;113;98;37;24;462
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;3152012;Göttingen;W;101;0;0;0;0;0;0;4;8;12;10;22;8;3;11;14;28;15;7;4;79
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;3152012;Göttingen;X;678;0;1;2;3;9;15;32;29;61;61;137;58;55;113;102;141;113;44;28;541
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5914000;Hagen;M;794;1;0;4;18;26;49;27;30;57;67;173;45;52;97;100;150;162;66;46;621
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5914000;Hagen;W;195;0;2;0;3;10;15;15;18;33;22;70;14;8;22;13;32;36;9;13;125
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5914000;Hagen;X;989;1;2;4;21;36;64;42;48;90;89;243;59;60;119;113;182;198;75;59;746
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;15002000;Halle (Saale);M;1036;0;0;5;9;24;38;21;36;57;62;157;55;59;114;168;255;187;107;48;879
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;15002000;Halle (Saale);W;272;0;0;2;1;11;14;11;15;26;21;61;15;16;31;38;72;34;22;14;211
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;15002000;Halle (Saale);X;1308;0;0;7;10;35;52;32;51;83;83;218;70;75;145;206;327;221;129;62;1090
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;2000000;Hamburg;M;9942;3;44;87;140;210;484;267;339;606;655;1745;506;568;1074;1433;2475;1868;928;419;8197
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;2000000;Hamburg;W;2202;0;1;15;18;57;91;88;89;177;142;410;116;111;227;306;575;387;191;106;1792
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;2000000;Hamburg;X;12144;3;45;102;158;267;575;355;428;783;797;2155;622;679;1301;1739;3050;2255;1119;525;9989
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5915000;Hamm;M;595;0;0;3;2;6;11;30;20;50;51;112;39;37;76;84;147;108;48;20;483
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5915000;Hamm;W;154;0;0;0;0;2;2;12;12;24;9;35;13;9;22;19;39;27;8;4;119
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5915000;Hamm;X;749;0;0;3;2;8;13;42;32;74;60;147;52;46;98;103;186;135;56;24;602
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;3241001;Hannover;M;3356;0;0;10;16;39;65;81;107;188;343;596;245;218;463;513;806;566;276;136;2760
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;3241001;Hannover;W;740;0;1;0;2;7;10;31;44;75;65;150;37;48;85;106;190;117;63;29;590
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;3241001;Hannover;X;4096;0;1;10;18;46;75;112;151;263;408;746;282;266;548;619;996;683;339;165;3350
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8221000;Heidelberg;M;464;0;0;1;3;8;12;9;24;33;38;83;33;37;70;66;92;77;53;23;381
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8221000;Heidelberg;W;101;0;0;0;0;2;2;3;3;6;10;18;7;3;10;15;26;13;10;9;83
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8221000;Heidelberg;X;565;0;0;1;3;10;14;12;27;39;48;101;40;40;80;81;118;90;63;32;464
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8121000;Heilbronn;M;440;0;0;3;1;3;7;12;12;24;41;72;28;21;49;75;104;79;37;24;368
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8121000;Heilbronn;W;89;0;0;0;0;4;4;2;7;9;7;20;5;8;13;6;22;13;8;7;69
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8121000;Heilbronn;X;529;0;0;3;1;7;11;14;19;33;48;92;33;29;62;81;126;92;45;31;437
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5916000;Herne;M;736;0;1;2;8;7;18;32;29;61;58;137;37;40;77;99;162;146;69;46;599
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5916000;Herne;W;168;0;0;0;1;4;5;8;7;15;13;33;13;8;21;20;32;33;21;8;135
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5916000;Herne;X;904;0;1;2;9;11;23;40;36;76;71;170;50;48;98;119;194;179;90;54;734
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9161000;Ingolstadt;M;631;0;0;4;6;9;19;15;24;39;53;111;47;37;84;97;157;90;55;37;520
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9161000;Ingolstadt;W;155;0;0;0;0;3;3;1;12;13;9;25;4;10;14;23;39;29;17;8;130
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9161000;Ingolstadt;X;786;0;0;4;6;12;22;16;36;52;62;136;51;47;98;120;196;119;72;45;650
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;16053000;Jena;M;291;0;0;1;0;6;7;6;7;13;21;41;14;20;34;61;77;46;25;7;250
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;16053000;Jena;W;43;0;0;0;0;3;3;0;1;1;1;5;1;2;3;4;16;12;2;1;38
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;16053000;Jena;X;334;0;0;1;0;9;10;6;8;14;22;46;15;22;37;65;93;58;27;8;288
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8212000;Karlsruhe;M;922;0;0;2;5;11;18;14;44;58;84;160;68;69;137;132;206;172;78;37;762
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8212000;Karlsruhe;W;200;0;0;1;0;2;3;8;8;16;17;36;11;12;23;22;51;29;27;12;164
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;8212000;Karlsruhe;X;1122;0;0;3;5;13;21;22;52;74;101;196;79;81;160;154;257;201;105;49;926
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;6611000;Kassel;M;661;0;0;1;1;3;5;11;19;30;59;94;45;46;91;99;177;122;47;31;567
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;6611000;Kassel;W;149;0;0;0;1;3;4;8;5;13;13;30;13;9;22;19;36;24;11;7;119
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;6611000;Kassel;X;810;0;0;1;2;6;9;19;24;43;72;124;58;55;113;118;213;146;58;38;686
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;1002000;Kiel;M;1253;0;0;1;9;12;22;33;48;81;95;198;108;89;197;209;246;247;104;52;1055
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;1002000;Kiel;W;295;0;0;0;0;3;3;22;19;41;27;71;25;26;51;45;58;37;22;11;224
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;1002000;Kiel;X;1548;0;0;1;9;15;25;55;67;122;122;269;133;115;248;254;304;284;126;63;1279
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;7111000;Koblenz;M;662;0;2;0;6;6;14;28;17;45;71;130;54;42;96;111;142;98;62;23;532
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;7111000;Koblenz;W;165;0;0;0;0;7;7;9;6;15;16;38;10;8;18;29;35;28;10;7;127
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;7111000;Koblenz;X;827;0;2;0;6;13;21;37;23;60;87;168;64;50;114;140;177;126;72;30;659
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5315000;Köln;M;6797;0;8;20;37;95;160;166;233;399;598;1157;440;466;906;976;1592;1209;651;306;5640
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5315000;Köln;W;1893;0;0;1;7;29;37;91;69;160;158;355;94;113;207;268;464;348;159;92;1538
