Schluessel,Straftat,Gemeindeschluessel,Stadt,Sexus,gesamt,Alter_unter_6,Alter_6_bis_8,Alter_8_bis_10,Alter_10_bis_12,Alter_12_bis_14,Kinder_gesamt,Alter_14_bis_16,Alter_16_bis_18,Jugendliche_gesamt,Alter_18_bis_21,unter_21_gesamt,Alter_21_bis_23,Alter_23_bis_25,Alter_21_bis_25,Alter_25_bis_30,Alter_30_bis_40,Alter_40_bis_50,Alter_50_bis_60,Alter_ueber_60,Erwachsene_gesamt,Jahr
------,Straftaten insgesamt,5316000,Leverkusen,M,"3,829",0,4,9,24,64,101,126,181,307,325,733,236,242,478,536,787,709,376,210,"3,096",2016
------,Straftaten insgesamt,1003000,Luebeck,M,"7,202",1,8,17,34,97,157,225,343,568,712,"1,437",487,463,950,"1,118","1,553","1,013",685,446,"5,765",2016
------,Straftaten insgesamt,7314000,Ludwigshafen am Rhein,M,"5,503",2,11,44,65,99,221,177,237,414,480,"1,115",364,351,715,797,"1,149",891,545,291,"4,388",2016
------,Straftaten insgesamt,15003000,Magdeburg,M,"6,721",4,6,20,49,97,176,230,314,544,634,"1,354",375,375,750,"1,071","1,570",929,673,374,"5,367",2016
------,Straftaten insgesamt,7315000,Mainz,M,"6,415",1,7,5,32,49,94,180,373,553,756,"1,403",551,437,988,989,"1,315",835,539,346,"5,012",2016
------,Straftaten insgesamt,8222000,Mannheim,M,"11,262",10,11,22,45,89,177,292,593,885,"1,358","2,420",962,885,"1,847","1,869","2,361","1,440",839,486,"8,842",2016
------,Straftaten insgesamt,5170024,Moers,M,"2,078",1,0,11,20,37,69,82,122,204,240,513,118,119,237,317,410,319,176,106,"1,565",2016
------,Straftaten insgesamt,5116000,Moenchengladbach,M,"6,402",1,5,21,26,70,123,199,330,529,685,"1,337",437,418,855,"1,055","1,425",900,535,295,"5,065",2016
------,Straftaten insgesamt,5117000,Muelheim an der Ruhr,M,"3,962",0,2,4,23,51,80,105,179,284,412,776,280,240,520,583,889,626,358,210,"3,186",2016
------,Straftaten insgesamt,9162000,Muenchen,M,"47,414",7,13,50,146,262,478,864,"2,284","3,148","7,605","11,231","4,077","3,749","7,826","7,845","9,459","5,725","3,266","2,062","36,183",2016
