Schluessel,Straftat,Gemeindeschluessel,Stadt,Faelle,HZ,Versuche,Versuche_Prozent,Schusswaffe_gedroht,Schusswaffe_geschossen,aufgeklaert,Aufklaerungsquote,Tatverdaechtige,Tatverdaechtige_maennlich,Tatverdaechtige_weiblich,Nichtdeutsche,Nichtdeutsche_Prozent,Jahr
222000,"Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB",6414000,Wiesbaden,847,305,90,10.6,0,3,735,86.8,884,718,166,373,42.2,2017
222000,"Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB",3103000,Wolfsburg,216,174,33,15.3,0,0,174,80.6,237,212,25,94,39.7,2017
222000,"Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB",5124000,Wuppertal,821,233,124,15.1,0,3,647,78.8,855,710,145,337,39.4,2017
222000,"Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB",9663000,Würzburg,290,230,51,17.6,0,6,245,84.5,322,272,50,102,31.7,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5334002,Aachen,"1,447",591,41,2.8,0,0,"1,269",87.7,"1,413","1,143",270,505,35.7,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,9761000,Augsburg,"2,375",820,221,9.3,0,0,"2,171",91.4,"1,821","1,476",345,679,37.3,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5378004,Bergisch Gladbach,440,395,21,4.8,0,0,407,92.5,475,373,102,134,28.2,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,11000000,Berlin,"29,556",827,"2,098",7.1,2,0,"24,926",84.3,"20,766","16,728","4,038","7,480",36.0,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5711000,Bielefeld,"1,658",497,65,3.9,0,0,"1,496",90.2,"1,490","1,222",268,479,32.1,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5911000,Bochum,"2,538",695,109,4.3,0,0,"2,238",88.2,"2,163","1,716",447,578,26.7,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5314000,Bonn,"1,910",593,76,4.0,0,0,"1,685",88.2,"1,730","1,387",343,542,31.3,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5512000,Bottrop,500,426,11,2.2,0,0,432,86.4,467,392,75,134,28.7,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,3101000,Braunschweig,"1,707",686,130,7.6,0,0,"1,579",92.5,"1,376","1,118",258,288,20.9,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,4011000,Bremen,"4,314",763,145,3.4,0,0,"3,631",84.2,"3,239","2,690",549,"1,200",37.0,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,4012000,Bremerhaven,"1,005",889,25,2.5,0,0,905,90.0,823,653,170,249,30.3,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,14511000,Chemnitz,"1,058",429,30,2.8,0,0,946,89.4,818,680,138,212,25.9,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,12052000,Cottbus,583,581,18,3.1,0,0,516,88.5,438,377,61,81,18.5,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,6411000,Darmstadt,645,410,13,2.0,0,0,583,90.4,558,472,86,233,41.8,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5913000,Dortmund,"4,290",732,167,3.9,0,0,"3,746",87.3,"3,918","3,175",743,"1,296",33.1,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,14612000,Dresden,"2,147",392,111,5.2,0,0,"1,876",87.4,"1,724","1,456",268,445,25.8,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5112000,Duisburg,"3,139",628,112,3.6,3,0,"2,817",89.7,"3,121","2,478",643,"1,155",37.0,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5111000,Düsseldorf,"3,786",617,141,3.7,0,0,"3,209",84.8,"3,548","2,863",685,"1,366",38.5,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,16051000,Erfurt,"1,794",850,179,10.0,1,0,"1,600",89.2,"1,364","1,095",269,254,18.6,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,9562000,Erlangen,557,505,51,9.2,0,0,514,92.3,464,365,99,169,36.4,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5113000,Essen,"2,513",431,74,2.9,0,0,"2,170",86.4,"2,428","1,916",512,773,31.8,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,6412000,Frankfurt am Main,"4,207",571,193,4.6,2,0,"3,657",86.9,"3,315","2,749",566,"1,624",49.0,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,8311000,Freiburg im Breisgau,"2,088",917,144,6.9,0,0,"1,869",89.5,"1,611","1,312",299,671,41.7,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,9563000,Fürth,554,442,44,7.9,0,0,520,93.9,443,368,75,155,35.0,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5513000,Gelsenkirchen,"1,721",656,39,2.3,0,0,"1,529",88.8,"1,658","1,298",360,544,32.8,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,3159016,Göttingen,956,802,72,7.5,0,0,847,88.6,761,612,149,209,27.5,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5914000,Hagen,"1,128",599,31,2.7,0,0,"1,017",90.2,"1,115",910,205,350,31.4,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,15002000,Halle (Saale),"2,138",898,116,5.4,0,0,"1,812",84.8,"1,477","1,184",293,328,22.2,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,2000000,Hamburg,"15,151",837,511,3.4,13,0,"12,914",85.2,"11,255","9,213","2,042","4,601",40.9,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5915000,Hamm,909,506,42,4.6,0,0,815,89.7,845,680,165,269,31.8,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,3241001,Hannover,"5,090",955,383,7.5,3,0,"4,569",89.8,"3,939","3,205",734,"1,398",35.5,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,8221000,Heidelberg,938,587,55,5.9,0,0,820,87.4,750,636,114,311,41.5,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,8121000,Heilbronn,628,507,19,3.0,0,0,576,91.7,538,431,107,260,48.3,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5916000,Herne,"1,215",775,36,3.0,0,0,"1,101",90.6,"1,072",854,218,300,28.0,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,3254021,Hildesheim,852,838,50,5.9,1,0,805,94.5,691,542,149,169,24.5,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,9161000,Ingolstadt,"1,051",786,91,8.7,0,0,957,91.1,820,669,151,322,39.3,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,16053000,Jena,514,466,28,5.4,0,0,440,85.6,392,334,58,91,23.2,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,8212000,Karlsruhe,"1,302",420,73,5.6,0,0,"1,170",89.9,"1,099",912,187,412,37.5,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,6611000,Kassel,"1,055",530,36,3.4,0,0,986,93.5,905,724,181,348,38.5,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,1002000,Kiel,"1,591",643,63,4.0,0,0,"1,385",87.1,"1,367","1,133",234,271,19.8,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,7111000,Koblenz,882,776,41,4.6,0,0,785,89.0,730,581,149,171,23.4,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5315000,Köln,"8,463",787,374,4.4,0,0,"7,142",84.4,"8,442","6,612","1,830","3,101",36.7,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5114000,Krefeld,"1,495",659,52,3.5,1,0,"1,343",89.8,"1,421","1,118",303,408,28.7,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,14713000,Leipzig,"2,954",517,149,5.0,1,0,"2,587",87.6,"2,327","1,917",410,558,24.0,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5316000,Leverkusen,866,531,52,6.0,0,0,784,90.5,914,677,237,268,29.3,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,1003000,Lübeck,"2,043",943,182,8.9,0,0,"1,883",92.2,"1,659","1,349",310,348,21.0,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,7314000,Ludwigshafen am Rhein,"1,712","1,027",117,6.8,0,0,"1,575",92.0,"1,386","1,040",346,523,37.7,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,15003000,Magdeburg,"1,355",569,58,4.3,1,0,"1,166",86.1,"1,048",866,182,196,18.7,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,7315000,Mainz,"1,474",690,119,8.1,0,0,"1,318",89.4,"1,183",974,209,464,39.2,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,8222000,Mannheim,"1,922",631,92,4.8,0,0,"1,724",89.7,"1,601","1,320",281,705,44.0,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5170024,Moers,593,571,27,4.6,0,0,533,89.9,540,450,90,127,23.5,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5116000,Mönchengladbach,"1,379",529,39,2.8,0,0,"1,220",88.5,"1,259","1,029",230,358,28.4,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5117000,Mülheim an der Ruhr,546,319,15,2.7,0,0,486,89.0,535,439,96,191,35.7,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,9162000,München,"7,387",504,586,7.9,3,0,"6,608",89.5,"5,947","4,860","1,087","3,089",51.9,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5515000,Münster,"1,654",530,60,3.6,0,0,"1,452",87.8,"1,603","1,340",263,491,30.6,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5162024,Neuss,866,566,32,3.7,0,0,774,89.4,825,657,168,253,30.7,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,9564000,Nürnberg,"3,888",760,278,7.2,2,0,"3,487",89.7,"2,922","2,365",557,"1,237",42.3,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5119000,Oberhausen,"1,191",563,44,3.7,0,0,"1,050",88.2,"1,255",977,278,372,29.6,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,6413000,Offenbach am Main,513,412,12,2.3,1,0,478,93.2,472,395,77,253,53.6,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,3403000,Oldenburg (Oldenburg),849,512,53,6.2,0,0,770,90.7,722,600,122,169,23.4,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,3404000,Osnabrück,882,538,39,4.4,0,0,771,87.4,745,611,134,222,29.8,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5774032,Paderborn,817,550,52,6.4,0,0,701,85.8,713,585,128,195,27.3,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,8231000,Pforzheim,791,641,26,3.3,0,0,722,91.3,681,554,127,293,43.0,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,12054000,Potsdam,885,515,45,5.1,0,0,767,86.7,672,529,143,171,25.4,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5562032,Recklinghausen,782,686,24,3.1,0,0,717,91.7,725,552,173,195,26.9,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,9362000,Regensburg,"1,053",708,78,7.4,1,0,923,87.7,785,651,134,299,38.1,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5120000,Remscheid,647,585,27,4.2,0,0,589,91.0,641,500,141,217,33.9,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,8415061,Reutlingen,586,510,21,3.6,1,0,518,88.4,445,366,79,186,41.8,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,13003000,Rostock,981,473,62,6.3,0,0,841,85.7,767,648,119,121,15.8,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,10041100,Saarbrücken,"1,823","1,014",148,8.1,0,0,"1,636",89.7,"1,440","1,129",311,424,29.4,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,3102000,Salzgitter,612,590,25,4.1,1,0,578,94.4,552,457,95,168,30.4,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,13004000,Schwerin,692,723,38,5.5,0,0,623,90.0,570,477,93,123,21.6,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5970040,Siegen,771,757,44,5.7,0,0,693,89.9,720,605,115,212,29.4,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5122000,Solingen,698,439,19,2.7,0,0,633,90.7,695,528,167,221,31.8,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,8111000,Stuttgart,"4,915",783,337,6.9,1,0,"4,371",88.9,"3,856","3,134",722,"1,807",46.9,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,7211000,Trier,932,846,44,4.7,0,0,837,89.8,752,616,136,240,31.9,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,8421000,Ulm,677,546,37,5.5,0,0,608,89.8,556,455,101,227,40.8,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,6414000,Wiesbaden,"1,821",656,64,3.5,0,0,"1,669",91.7,"1,449","1,164",285,573,39.5,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,3103000,Wolfsburg,602,486,31,5.1,0,0,535,88.9,493,415,78,123,24.9,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,5124000,Wuppertal,"2,650",752,98,3.7,0,0,"2,350",88.7,"2,450","1,904",546,872,35.6,2017
224000,Vorsätzliche einfache Körperverletzung § 223 StGB,9663000,Würzburg,805,639,56,7.0,0,0,714,88.7,610,514,96,167,27.4,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5334002,Aachen,"6,921","2,825",183,2.6,0,0,"2,580",37.3,"1,837","1,281",556,814,44.3,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",9761000,Augsburg,"3,640","1,257",65,1.8,0,0,"1,875",51.5,"1,698","1,163",535,731,43.1,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5378004,Bergisch Gladbach,"1,559","1,400",55,3.5,0,0,599,38.4,543,384,159,196,36.1,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",11000000,Berlin,"131,116","3,668","2,565",2.0,0,0,"38,592",29.4,"25,642","17,449","8,193","12,735",49.7,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5711000,Bielefeld,"6,337","1,900",122,1.9,0,0,"2,896",45.7,"2,438","1,690",748,"1,216",49.9,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5911000,Bochum,"7,210","1,976",201,2.8,0,0,"2,523",35.0,"2,216","1,471",745,848,38.3,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5314000,Bonn,"7,662","2,379",212,2.8,0,0,"2,612",34.1,"2,069","1,440",629,866,41.9,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5512000,Bottrop,"1,680","1,431",66,3.9,0,0,625,37.2,531,364,167,168,31.6,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",3101000,Braunschweig,"4,135","1,663",94,2.3,0,0,"1,999",48.3,"1,718","1,167",551,604,35.2,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",4011000,Bremen,"14,395","2,545",383,2.7,0,0,"5,362",37.2,"4,048","2,839","1,209","2,019",49.9,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",4012000,Bremerhaven,"2,832","2,505",111,3.9,0,0,"1,524",53.8,"1,120",747,373,404,36.1,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",14511000,Chemnitz,"4,444","1,804",74,1.7,0,0,"2,263",50.9,"1,691","1,211",480,644,38.1,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",12052000,Cottbus,"1,550","1,544",33,2.1,0,0,735,47.4,577,409,168,117,20.3,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",6411000,Darmstadt,"2,729","1,733",47,1.7,0,0,"1,425",52.2,"1,148",765,383,481,41.9,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5913000,Dortmund,"16,046","2,739",387,2.4,0,0,"7,060",44.0,"5,092","3,536","1,556","2,443",48.0,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",14612000,Dresden,"12,206","2,231",238,1.9,0,0,"5,717",46.8,"3,792","2,748","1,044","1,450",38.2,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5112000,Duisburg,"11,176","2,236",320,2.9,0,0,"4,055",36.3,"3,445","2,296","1,149","1,671",48.5,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5111000,Düsseldorf,"19,401","3,164",348,1.8,0,0,"4,703",24.2,"4,225","2,809","1,416","2,044",48.4,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",16051000,Erfurt,"3,981","1,886",100,2.5,0,0,"1,838",46.2,"1,470","1,010",460,326,22.2,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",9562000,Erlangen,"1,480","1,343",22,1.5,0,0,741,50.1,682,423,259,268,39.3,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5113000,Essen,"12,236","2,098",197,1.6,0,0,"4,771",39.0,"4,217","2,734","1,483","1,959",46.5,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",6412000,Frankfurt am Main,"20,912","2,840",426,2.0,0,0,"8,318",39.8,"5,925","4,065","1,860","3,381",57.1,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",8311000,Freiburg im Breisgau,"5,614","2,467",128,2.3,0,0,"2,211",39.4,"1,812","1,203",609,814,44.9,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",9563000,Fürth,"1,147",915,24,2.1,0,0,600,52.3,596,406,190,242,40.6,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5513000,Gelsenkirchen,"6,199","2,361",154,2.5,0,0,"2,059",33.2,"1,873","1,163",710,968,51.7,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",3159016,Göttingen,"2,855","2,396",68,2.4,0,0,"1,344",47.1,"1,068",679,389,393,36.8,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5914000,Hagen,"4,032","2,142",116,2.9,0,0,"2,004",49.7,"1,693","1,159",534,749,44.2,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",15002000,Halle (Saale),"5,218","2,192",158,3.0,0,0,"2,404",46.1,"1,774","1,238",536,462,26.0,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",2000000,Hamburg,"62,517","3,453","1,562",2.5,0,0,"18,201",29.1,"13,968","9,811","4,157","7,018",50.2,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5915000,Hamm,"3,649","2,032",127,3.5,0,0,"1,452",39.8,"1,260",872,388,511,40.6,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",3241001,Hannover,"15,535","2,915",401,2.6,0,0,"6,404",41.2,"5,095","3,540","1,555","2,310",45.3,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",8221000,Heidelberg,"4,401","2,752",106,2.4,0,0,"2,005",45.6,"1,586","1,240",346,995,62.7,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",8121000,Heilbronn,"1,926","1,556",22,1.1,0,0,871,45.2,815,555,260,408,50.1,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5916000,Herne,"2,898","1,849",81,2.8,0,0,"1,062",36.6,972,625,347,404,41.6,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",3254021,Hildesheim,"1,923","1,891",57,3.0,0,0,970,50.4,833,520,313,266,31.9,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",9161000,Ingolstadt,"1,961","1,467",41,2.1,0,0,"1,005",51.2,916,606,310,487,53.2,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",16053000,Jena,"1,467","1,330",33,2.2,0,0,673,45.9,543,368,175,99,18.2,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",8212000,Karlsruhe,"5,712","1,843",110,1.9,0,0,"2,398",42.0,"2,189","1,403",786,"1,222",55.8,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",6611000,Kassel,"4,425","2,223",93,2.1,0,0,"2,190",49.5,"1,616","1,062",554,663,41.0,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",1002000,Kiel,"5,871","2,373",144,2.5,0,0,"2,562",43.6,"1,848","1,229",619,610,33.0,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",7111000,Koblenz,"2,470","2,174",61,2.5,0,0,981,39.7,953,605,348,314,32.9,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5315000,Köln,"34,907","3,244",876,2.5,0,0,"10,200",29.2,"8,427","5,579","2,848","3,948",46.8,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5114000,Krefeld,"4,780","2,107",122,2.6,0,0,"2,090",43.7,"1,717","1,098",619,658,38.3,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",14713000,Leipzig,"15,674","2,745",227,1.4,0,0,"7,158",45.7,"5,112","3,682","1,430","1,690",33.1,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5316000,Leverkusen,"2,671","1,638",92,3.4,0,0,919,34.4,855,609,246,297,34.7,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",1003000,Lübeck,"5,602","2,585",137,2.4,0,0,"2,780",49.6,"1,930","1,298",632,552,28.6,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",7314000,Ludwigshafen am Rhein,"3,238","1,943",81,2.5,0,0,"1,167",36.0,"1,137",776,361,516,45.4,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",15003000,Magdeburg,"5,183","2,176",98,1.9,0,0,"2,529",48.8,"1,910","1,337",573,436,22.8,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",7315000,Mainz,"3,796","1,778",98,2.6,0,0,"1,426",37.6,"1,240",841,399,513,41.4,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",8222000,Mannheim,"8,957","2,939",232,2.6,0,0,"3,146",35.1,"2,612","1,733",879,"1,403",53.7,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5170024,Moers,"1,579","1,520",65,4.1,0,0,495,31.3,469,321,148,173,36.9,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5116000,Mönchengladbach,"6,017","2,306",131,2.2,0,0,"2,844",47.3,"2,124","1,296",828,790,37.2,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5117000,Mülheim an der Ruhr,"2,154","1,260",52,2.4,0,0,733,34.0,726,477,249,291,40.1,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",9162000,München,"19,318","1,319",319,1.7,0,0,"7,961",41.2,"6,853","4,361","2,492","3,599",52.5,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5515000,Münster,"6,795","2,179",160,2.4,0,0,"2,624",38.6,"2,189","1,548",641,967,44.2,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5162024,Neuss,"2,192","1,434",76,3.5,0,0,897,40.9,838,574,264,325,38.8,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",9564000,Nürnberg,"9,954","1,946",197,2.0,0,0,"5,354",53.8,"4,455","3,003","1,452","2,349",52.7,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5119000,Oberhausen,"4,085","1,933",72,1.8,0,0,"1,500",36.7,"1,417",934,483,507,35.8,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",6413000,Offenbach am Main,"1,914","1,536",36,1.9,0,0,911,47.6,872,550,322,476,54.6,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",3403000,Oldenburg (Oldenburg),"2,890","1,744",78,2.7,0,0,"1,267",43.8,"1,095",747,348,403,36.8,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",3404000,Osnabrück,"4,323","2,635",98,2.3,0,0,"2,072",47.9,"1,535","1,058",477,640,41.7,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5774032,Paderborn,"2,880","1,937",94,3.3,0,0,"1,289",44.8,997,753,244,419,42.0,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",8231000,Pforzheim,"1,935","1,567",34,1.8,0,0,"1,011",52.2,907,597,310,431,47.5,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",12054000,Potsdam,"3,425","1,993",41,1.2,0,0,"1,683",49.1,"1,315",882,433,474,36.0,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",5562032,Recklinghausen,"2,264","1,986",75,3.3,0,0,832,36.7,782,526,256,295,37.7,2017
3***00,"Diebstahl ohne erschwerende Umstände §§ 242, 247, 248a-c StGB und zwar:",9362000,Regensburg,"3,231","2,174",70,2.2,0,0,"1,723",53.3,"1,444",947,497,608,42.1,2017
