Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6 bis unter 14 Jahre - insgesamt;Opfer Kinder 6 bis unter 14 Jahre - maennlich;Opfer Kinder 6 bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich;Jahr
------;Straftaten insgesamt;8212000;Karlsruhe;insg.;3828;2496;1332;28;12;16;141;75;66;169;87;82;252;153;99;348;231;117;2833;1888;945;226;137;89;3059;2025;1034;2016
------;Straftaten insgesamt;6611000;Kassel;insg.;2916;1706;1210;19;9;10;135;77;58;154;86;68;172;88;84;278;156;122;2177;1312;865;135;64;71;2312;1376;936;2016
------;Straftaten insgesamt;1002000;Kiel;insg.;4553;2912;1641;30;16;14;183;104;79;213;120;93;331;202;129;431;279;152;3372;2174;1198;206;137;69;3578;2311;1267;2016
------;Straftaten insgesamt;7111000;Koblenz;insg.;2246;1456;790;12;7;5;78;40;38;90;47;43;167;114;53;223;140;83;1657;1086;571;109;69;40;1766;1155;611;2016
------;Straftaten insgesamt;5315000;Koeln;insg.;25605;15503;10102;155;85;70;1035;624;411;1190;709;481;1540;843;697;2116;1196;920;19554;12060;7494;1205;695;510;20759;12755;8004;2016
------;Straftaten insgesamt;5114000;Krefeld;insg.;3697;2014;1683;30;17;13;194;102;92;224;119;105;261;135;126;314;182;132;2655;1447;1208;243;131;112;2898;1578;1320;2016
------;Straftaten insgesamt;14713000;Leipzig;insg.;9373;5951;3422;107;60;47;459;231;228;566;291;275;617;319;298;620;388;232;7078;4680;2398;492;273;219;7570;4953;2617;2016
------;Straftaten insgesamt;5316000;Leverkusen;insg.;2913;1654;1259;14;7;7;148;83;65;162;90;72;237;129;108;234;123;111;2120;1220;900;160;92;68;2280;1312;968;2016
------;Straftaten insgesamt;1003000;Luebeck;insg.;5102;3253;1849;27;14;13;251;145;106;278;159;119;389;215;174;388;253;135;3784;2474;1310;263;152;111;4047;2626;1421;2016
------;Straftaten insgesamt;7314000;Ludwigshafen am Rhein;insg.;3853;2218;1635;48;22;26;315;181;134;363;203;160;316;175;141;329;197;132;2637;1523;1114;208;120;88;2845;1643;1202;2016
------;Straftaten insgesamt;15003000;Magdeburg;insg.;3907;2290;1617;50;25;25;206;105;101;256;130;126;273;155;118;289;157;132;2866;1710;1156;223;138;85;3089;1848;1241;2016
------;Straftaten insgesamt;7315000;Mainz;insg.;3926;2531;1395;29;22;7;141;82;59;170;104;66;286;185;101;381;278;103;2925;1859;1066;164;105;59;3089;1964;1125;2016
------;Straftaten insgesamt;8222000;Mannheim;insg.;4935;3068;1867;54;36;18;206;122;84;260;158;102;259;160;99;399;248;151;3733;2353;1380;284;149;135;4017;2502;1515;2016
------;Straftaten insgesamt;5170024;Moers;insg.;1546;897;649;4;2;2;130;76;54;134;78;56;163;94;69;148;93;55;1005;580;425;96;52;44;1101;632;469;2016
------;Straftaten insgesamt;5116000;Moenchengladbach;insg.;3717;2041;1676;25;14;11;176;96;80;201;110;91;336;190;146;366;196;170;2612;1435;1177;202;110;92;2814;1545;1269;2016
------;Straftaten insgesamt;5117000;Muelheim an der Ruhr;insg.;1838;958;880;13;5;8;127;83;44;140;88;52;143;73;70;129;74;55;1291;652;639;135;71;64;1426;723;703;2016
------;Straftaten insgesamt;9162000;Muenchen;insg.;18493;12306;6187;193;95;98;609;343;266;802;438;364;1020;643;377;1495;1022;473;14197;9629;4568;979;574;405;15176;10203;4973;2016
------;Straftaten insgesamt;5515000;Muenster;insg.;4468;2629;1839;29;14;15;209;125;84;238;139;99;304;173;131;393;230;163;3315;1970;1345;218;117;101;3533;2087;1446;2016
------;Straftaten insgesamt;5162024;Neuss;insg.;2153;1219;934;11;5;6;91;54;37;102;59;43;163;93;70;223;141;82;1541;861;680;124;65;59;1665;926;739;2016
------;Straftaten insgesamt;9564000;Nuernberg;insg.;8593;5552;3041;71;44;27;303;182;121;374;226;148;605;375;230;874;567;307;6367;4173;2194;373;211;162;6740;4384;2356;2016
------;Straftaten insgesamt;5119000;Oberhausen;insg.;2815;1558;1257;27;14;13;176;100;76;203;114;89;249;138;111;242;155;87;1947;1060;887;174;91;83;2121;1151;970;2016
------;Straftaten insgesamt;6413000;Offenbach am Main;insg.;1373;717;656;18;7;11;67;41;26;85;48;37;98;56;42;102;41;61;1025;535;490;63;37;26;1088;572;516;2016
------;Straftaten insgesamt;3403000;Oldenburg (Oldenburg);insg.;2215;1337;878;17;12;5;109;57;52;126;69;57;198;118;80;247;143;104;1528;937;591;116;70;46;1644;1007;637;2016
------;Straftaten insgesamt;3404000;Osnabrueck;insg.;3108;1937;1171;33;17;16;99;41;58;132;58;74;205;115;90;303;193;110;2321;1483;838;147;88;59;2468;1571;897;2016
------;Straftaten insgesamt;5774032;Paderborn;insg.;2101;1229;872;5;5;0;85;43;42;90;48;42;124;77;47;220;124;96;1566;922;644;101;58;43;1667;980;687;2016
------;Straftaten insgesamt;8231000;Pforzheim;insg.;1811;1114;697;16;13;3;114;72;42;130;85;45;141;89;52;139;80;59;1276;800;476;125;60;65;1401;860;541;2016
------;Straftaten insgesamt;12054000;Potsdam;insg.;1997;1222;775;20;11;9;136;88;48;156;99;57;168;119;49;138;87;51;1404;843;561;131;74;57;1535;917;618;2016
------;Straftaten insgesamt;5562032;Recklinghausen;insg.;2450;1396;1054;25;14;11;97;59;38;122;73;49;266;163;103;206;122;84;1723;956;767;133;82;51;1856;1038;818;2016
------;Straftaten insgesamt;9362000;Regensburg;insg.;2460;1668;792;14;4;10;79;41;38;93;45;48;174;117;57;285;208;77;1816;1245;571;92;53;39;1908;1298;610;2016
------;Straftaten insgesamt;5120000;Remscheid;insg.;1638;861;777;16;10;6;99;47;52;115;57;58;159;65;94;155;79;76;1122;609;513;87;51;36;1209;660;549;2016
------;Straftaten insgesamt;8415061;Reutlingen;insg.;1446;883;563;10;6;4;55;32;23;65;38;27;147;84;63;152;109;43;1019;615;404;63;37;26;1082;652;430;2016
------;Straftaten insgesamt;13003000;Rostock;insg.;2755;1712;1043;47;24;23;204;109;95;251;133;118;229;136;93;172;100;72;1946;1258;688;157;85;72;2103;1343;760;2016
------;Straftaten insgesamt;10041100;Saarbruecken;insg.;4639;2743;1896;32;18;14;208;121;87;240;139;101;325;175;150;476;288;188;3360;2009;1351;238;132;106;3598;2141;1457;2016
------;Straftaten insgesamt;3102000;Salzgitter;insg.;1443;795;648;27;12;15;102;59;43;129;71;58;131;73;58;121;68;53;979;539;440;83;44;39;1062;583;479;2016
------;Straftaten insgesamt;13004000;Schwerin;insg.;1520;941;579;15;6;9;159;97;62;174;103;71;147;98;49;97;63;34;1009;629;380;93;48;45;1102;677;425;2016
------;Straftaten insgesamt;5970040;Siegen;insg.;1918;1146;772;15;14;1;94;62;32;109;76;33;148;93;55;197;118;79;1361;802;559;103;57;46;1464;859;605;2016
------;Straftaten insgesamt;5122000;Solingen;insg.;1933;1092;841;15;6;9;108;65;43;123;71;52;163;94;69;187;115;72;1360;755;605;100;57;43;1460;812;648;2016
