Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt maennlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre maennlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre maennlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre maennlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre maennlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre maennlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt maennlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre maennlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre maennlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - maennlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre maennlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - maennlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre maennlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre maennlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - maennlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - maennlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - maennlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - maennlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - maennlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - maennlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - maennlich;Erwachsene ab 21 Jahre - weiblich
------;Straftaten insgesamt;6412000;Frankfurt am Main;voll.;10,930;6,936;3,994;59;38;21;33;19;14;53;31;22;91;49;42;202;100;102;438;237;201;216;113;103;292;158;134;508;271;237;818;530;288;1,764;1,038;726;573;348;225;601;409;192;1,174;757;417;1,971;1,295;676;2,735;1,732;1,003;1,729;1,128;601;944;637;307;613;349;264;9,166;5,898;3,268
------;Straftaten insgesamt;8311000;Freiburg im Breisgau;voll.;4,250;2,823;1,427;41;25;16;22;13;9;33;18;15;60;35;25;81;39;42;237;130;107;110;56;54;220;153;67;330;209;121;476;317;159;1,043;656;387;317;200;117;300;197;103;617;397;220;682;464;218;854;588;266;525;355;170;344;250;94;185;113;72;3,207;2,167;1,040
------;Straftaten insgesamt;9563000;Fuerth;voll.;875;471;404;8;1;7;4;2;2;9;6;3;14;11;3;37;15;22;72;35;37;44;20;24;47;20;27;91;40;51;55;33;22;218;108;110;33;18;15;50;35;15;83;53;30;109;55;54;203;110;93;146;78;68;75;49;26;41;18;23;657;363;294
------;Straftaten insgesamt;5513000;Gelsenkirchen;voll.;4,486;2,459;2,027;35;25;10;21;11;10;36;27;9;77;54;23;118;67;51;287;184;103;194;111;83;199;113;86;393;224;169;345;176;169;1,025;584;441;255;130;125;297;162;135;552;292;260;599;301;298;944;511;433;711;400;311;409;240;169;246;131;115;3,461;1,875;1,586
------;Straftaten insgesamt;3152012;Goettingen;voll.;2,245;1,430;815;18;10;8;5;3;2;14;10;4;25;15;10;47;30;17;109;68;41;72;49;23;106;77;29;178;126;52;242;171;71;529;365;164;164;106;58;174;120;54;338;226;112;357;212;145;392;241;151;314;190;124;200;124;76;115;72;43;1,716;1,065;651
------;Straftaten insgesamt;5914000;Hagen;voll.;2,711;1,541;1,170;9;7;2;13;7;6;25;13;12;39;22;17;69;30;39;155;79;76;97;61;36;107;62;45;204;123;81;245;143;102;604;345;259;152;82;70;203;104;99;355;186;169;436;247;189;529;280;249;373;224;149;287;188;99;127;71;56;2,107;1,196;911
------;Straftaten insgesamt;15002000;Halle (Saale);voll.;4,126;2,530;1,596;44;20;24;38;14;24;53;33;20;70;38;32;144;59;85;349;164;185;144;88;56;192;125;67;336;213;123;310;194;116;995;571;424;213;129;84;232;137;95;445;266;179;629;404;225;909;569;340;520;342;178;410;260;150;218;118;100;3,131;1,959;1,172
------;Straftaten insgesamt;2000000;Hamburg;voll.;33,378;20,844;12,534;250;137;113;213;137;76;336;224;112;539;372;167;769;471;298;2,107;1,341;766;1,036;589;447;1,479;937;542;2,515;1,526;989;2,758;1,772;986;7,380;4,639;2,741;1,861;1,153;708;1,826;1,134;692;3,687;2,287;1,400;4,763;2,949;1,814;7,707;4,774;2,933;4,930;3,134;1,796;3,154;2,018;1,136;1,757;1,043;714;25,998;16,205;9,793
------;Straftaten insgesamt;5915000;Hamm;voll.;2,366;1,366;1,000;9;5;4;12;9;3;26;17;9;25;10;15;50;27;23;122;68;54;79;33;46;110;56;54;189;89;100;195;127;68;506;284;222;154;78;76;151;92;59;305;170;135;322;164;158;472;285;187;388;228;160;250;165;85;123;70;53;1,860;1,082;778
------;Straftaten insgesamt;3241001;Hannover;voll.;11,768;7,542;4,226;95;47;48;48;19;29;81;52;29;136;68;68;246;122;124;606;308;298;336;170;166;410;225;185;746;395;351;1,105;709;396;2,457;1,412;1,045;807;548;259;791;553;238;1,598;1,101;497;1,908;1,266;642;2,611;1,708;903;1,760;1,164;596;951;606;345;483;285;198;9,311;6,130;3,181
