Schluessel;Straftat;Gemeindeschluessel;Stadt;Fallstatus;Oper insgesamt ;Opfer maennlich;Opfer weiblich;Opfer - Kinder bis unter 6 Jahre - insgesamt;Opfer - Kinder bis unter 6 Jahre - maennlich;Opfer - Kinder bis unter 6 Jahre - weiblich;Opfer Kinder 6  bis unter 14 Jahre - insgesamt;Opfer Kinder 6  bis unter 14 Jahre - maennlich;Opfer Kinder 6  bis unter 14 Jahre - weiblich;Opfer Kinder bis 14 Jahre- insgesamt;Opfer Kinder bis 14 Jahre- maennlich;Opfer Kinder bis 14 Jahre- weiblich;Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt;Opfer Jugendliche 14 bis unter 18 Jahre - maennlich;Opfer Jugendliche 14 bis unter 18 Jahre - weiblich;Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt;Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich;Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich;Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt;Opfer Erwachsene 21 bis unter 60 Jahre - maennlich;Opfer Erwachsene 21 bis unter 60 Jahre - weiblich;Opfer - Erwachsene 60 Jahre und aelter - insgesamt;Opfer - Erwachsene 60 Jahre und aelter - maennlich;Opfer - Erwachsene 60 Jahre und aelter - weiblich;Opfer Erwachsene - insgesamt;Opfer Erwachsene - maennlich;Opfer Erwachsene - weiblich
------;Straftaten insgesamt;8121000;Heilbronn;vers.;104;79;25;1;1;0;1;1;0;2;2;0;5;5;0;4;4;0;83;64;19;10;4;6;93;68;25
------;Straftaten insgesamt;8121000;Heilbronn;insg.;1,652;1,030;622;18;15;3;60;36;24;78;51;27;101;53;48;125;72;53;1,241;786;455;107;68;39;1,348;854;494
------;Straftaten insgesamt;5916000;Herne;voll.;2,384;1,235;1,149;19;10;9;147;84;63;166;94;72;209;105;104;233;111;122;1,623;841;782;153;84;69;1,776;925;851
------;Straftaten insgesamt;5916000;Herne;vers.;147;88;59;3;1;2;9;3;6;12;4;8;10;7;3;17;13;4;93;55;38;15;9;6;108;64;44
------;Straftaten insgesamt;5916000;Herne;insg.;2,531;1,323;1,208;22;11;11;156;87;69;178;98;80;219;112;107;250;124;126;1,716;896;820;168;93;75;1,884;989;895
------;Straftaten insgesamt;3254021;Hildesheim;voll.;1,673;896;777;17;10;7;99;43;56;116;53;63;130;60;70;149;66;83;1,185;660;525;93;57;36;1,278;717;561
------;Straftaten insgesamt;3254021;Hildesheim;vers.;110;65;45;0;0;0;4;1;3;4;1;3;13;11;2;5;2;3;80;45;35;8;6;2;88;51;37
------;Straftaten insgesamt;3254021;Hildesheim;insg.;1,783;961;822;17;10;7;103;44;59;120;54;66;143;71;72;154;68;86;1,265;705;560;101;63;38;1,366;768;598
------;Straftaten insgesamt;9161000;Ingolstadt;voll.;1,739;1,034;705;28;17;11;90;49;41;118;66;52;115;63;52;119;78;41;1,294;778;516;93;49;44;1,387;827;560
------;Straftaten insgesamt;9161000;Ingolstadt;vers.;180;126;54;3;2;1;15;13;2;18;15;3;11;4;7;14;10;4;124;87;37;13;10;3;137;97;40
------;Straftaten insgesamt;9161000;Ingolstadt;insg.;1,919;1,160;759;31;19;12;105;62;43;136;81;55;126;67;59;133;88;45;1,418;865;553;106;59;47;1,524;924;600
------;Straftaten insgesamt;16053000;Jena;voll.;1,255;813;442;11;8;3;74;45;29;85;53;32;78;27;51;108;55;53;936;650;286;48;28;20;984;678;306
------;Straftaten insgesamt;16053000;Jena;vers.;115;84;31;7;7;0;2;0;2;9;7;2;5;5;0;11;8;3;83;60;23;7;4;3;90;64;26
------;Straftaten insgesamt;16053000;Jena;insg.;1,370;897;473;18;15;3;76;45;31;94;60;34;83;32;51;119;63;56;1,019;710;309;55;32;23;1,074;742;332
------;Straftaten insgesamt;7312000;Kaiserslautern;voll.;2,485;1,550;935;26;15;11;109;47;62;135;62;73;231;149;82;269;173;96;1,716;1,088;628;134;78;56;1,850;1,166;684
------;Straftaten insgesamt;7312000;Kaiserslautern;vers.;238;156;82;6;4;2;6;5;1;12;9;3;22;13;9;20;11;9;167;111;56;17;12;5;184;123;61
------;Straftaten insgesamt;7312000;Kaiserslautern;insg.;2,723;1,706;1,017;32;19;13;115;52;63;147;71;76;253;162;91;289;184;105;1,883;1,199;684;151;90;61;2,034;1,289;745
------;Straftaten insgesamt;8212000;Karlsruhe;voll.;3,360;2,113;1,247;26;14;12;163;89;74;189;103;86;187;103;84;281;173;108;2,478;1,590;888;225;144;81;2,703;1,734;969
------;Straftaten insgesamt;8212000;Karlsruhe;vers.;278;203;75;36;35;1;15;8;7;51;43;8;11;10;1;17;10;7;177;128;49;22;12;10;199;140;59
------;Straftaten insgesamt;8212000;Karlsruhe;insg.;3,638;2,316;1,322;62;49;13;178;97;81;240;146;94;198;113;85;298;183;115;2,655;1,718;937;247;156;91;2,902;1,874;1,028
------;Straftaten insgesamt;6611000;Kassel;voll.;3,160;1,836;1,324;41;24;17;134;65;69;175;89;86;228;124;104;257;152;105;2,326;1,358;968;174;113;61;2,500;1,471;1,029
------;Straftaten insgesamt;6611000;Kassel;vers.;213;136;77;3;3;0;5;3;2;8;6;2;9;5;4;20;14;6;158;99;59;18;12;6;176;111;65
------;Straftaten insgesamt;6611000;Kassel;insg.;3,373;1,972;1,401;44;27;17;139;68;71;183;95;88;237;129;108;277;166;111;2,484;1,457;1,027;192;125;67;2,676;1,582;1,094
------;Straftaten insgesamt;1002000;Kiel;voll.;3,885;2,377;1,508;21;16;5;169;86;83;190;102;88;266;160;106;318;184;134;2,919;1,828;1,091;192;103;89;3,111;1,931;1,180
