Schluessel,Straftat,Gemeindeschluessel,Stadt,Fallstatus,Oper insgesamt,Opfer maennlich,Opfer weiblich,Opfer - Kinder bis unter 6 Jahre - insgesamt,Opfer - Kinder bis unter 6 Jahre - maennlich,Opfer - Kinder bis unter 6 Jahre - weiblich,Opfer Kinder 6 bis unter 14 Jahre - insgesamt,Opfer Kinder 6 bis unter 14 Jahre - maennlich,Opfer Kinder 6 bis unter 14 Jahre - weiblich,Opfer Kinder bis 14 Jahre- insgesamt,Opfer Kinder bis 14 Jahre- maennlich,Opfer Kinder bis 14 Jahre- weiblich,Opfer Jugendliche 14 bis unter 18 Jahre - insgesamt,Opfer Jugendliche 14 bis unter 18 Jahre - maennlich,Opfer Jugendliche 14 bis unter 18 Jahre - weiblich,Opfer - Heranwachsende 18 bis unter 21 Jahre - insgesamt,Opfer - Heranwachsende 18 bis unter 21 Jahre - maennlich,Opfer - Heranwachsende 18 bis unter 21 Jahre - weiblich,Opfer Erwachsene 21 bis unter 60 Jahre - insgesamt,Opfer Erwachsene 21 bis unter 60 Jahre - maennlich,Opfer Erwachsene 21 bis unter 60 Jahre - weiblich,Opfer - Erwachsene 60 Jahre und aelter - insgesamt,Opfer - Erwachsene 60 Jahre und aelter - maennlich,Opfer - Erwachsene 60 Jahre und aelter - weiblich,Opfer Erwachsene - insgesamt,Opfer Erwachsene - maennlich,Opfer Erwachsene - weiblich,Jahr
------,Straftaten insgesamt,11000000,Berlin,vers.,7124,4936,2188,52,33,19,391,229,162,443,262,181,458,313,145,409,291,118,5315,3775,1540,499,295,204,5814,4070,1744,2019
------,Straftaten insgesamt,11000000,Berlin,insg.,82960,51316,31644,844,468,376,5117,2927,2190,5961,3395,2566,5714,3432,2282,5169,3151,2018,61181,38634,22547,4935,2704,2231,66116,41338,24778,2019
------,Straftaten insgesamt,5711000,Bielefeld,voll.,3824,2109,1715,34,20,14,171,101,70,205,121,84,262,150,112,341,179,162,2780,1535,1245,236,124,112,3016,1659,1357,2019
------,Straftaten insgesamt,5711000,Bielefeld,vers.,264,175,89,3,3,0,9,6,3,12,9,3,18,10,8,30,23,7,188,123,65,16,10,6,204,133,71,2019
------,Straftaten insgesamt,5711000,Bielefeld,insg.,4088,2284,1804,37,23,14,180,107,73,217,130,87,280,160,120,371,202,169,2968,1658,1310,252,134,118,3220,1792,1428,2019
------,Straftaten insgesamt,5911000,Bochum,voll.,5546,3005,2541,49,32,17,256,149,107,305,181,124,444,249,195,505,262,243,4000,2157,1843,292,156,136,4292,2313,1979,2019
------,Straftaten insgesamt,5911000,Bochum,vers.,368,236,132,0,0,0,16,11,5,16,11,5,31,20,11,25,17,8,273,178,95,23,10,13,296,188,108,2019
------,Straftaten insgesamt,5911000,Bochum,insg.,5914,3241,2673,49,32,17,272,160,112,321,192,129,475,269,206,530,279,251,4273,2335,1938,315,166,149,4588,2501,2087,2019
------,Straftaten insgesamt,5314000,Bonn,voll.,5043,2894,2149,52,30,22,272,130,142,324,160,164,377,227,150,424,253,171,3616,2085,1531,302,169,133,3918,2254,1664,2019
------,Straftaten insgesamt,5314000,Bonn,vers.,310,208,102,0,0,0,17,12,5,17,12,5,28,21,7,27,18,9,215,144,71,23,13,10,238,157,81,2019
------,Straftaten insgesamt,5314000,Bonn,insg.,5353,3102,2251,52,30,22,289,142,147,341,172,169,405,248,157,451,271,180,3831,2229,1602,325,182,143,4156,2411,1745,2019
------,Straftaten insgesamt,5512000,Bottrop,voll.,1480,806,674,19,9,10,95,51,44,114,60,54,140,72,68,129,80,49,1003,545,458,94,49,45,1097,594,503,2019
------,Straftaten insgesamt,5512000,Bottrop,vers.,90,55,35,0,0,0,2,0,2,2,0,2,6,5,1,6,4,2,65,39,26,11,7,4,76,46,30,2019
------,Straftaten insgesamt,5512000,Bottrop,insg.,1570,861,709,19,9,10,97,51,46,116,60,56,146,77,69,135,84,51,1068,584,484,105,56,49,1173,640,533,2019
------,Straftaten insgesamt,3101000,Braunschweig,voll.,3765,2278,1487,23,11,12,238,121,117,261,132,129,275,146,129,407,251,156,2632,1634,998,190,115,75,2822,1749,1073,2019
------,Straftaten insgesamt,3101000,Braunschweig,vers.,230,169,61,0,0,0,2,1,1,2,1,1,11,4,7,26,17,9,179,140,39,12,7,5,191,147,44,2019
------,Straftaten insgesamt,3101000,Braunschweig,insg.,3995,2447,1548,23,11,12,240,122,118,263,133,130,286,150,136,433,268,165,2811,1774,1037,202,122,80,3013,1896,1117,2019
------,Straftaten insgesamt,4011000,Bremen,voll.,9602,5707,3895,67,29,38,384,177,207,451,206,245,771,434,337,888,560,328,6928,4196,2732,564,311,253,7492,4507,2985,2019
------,Straftaten insgesamt,4011000,Bremen,vers.,617,422,195,4,2,2,19,6,13,23,8,15,40,22,18,45,31,14,460,334,126,49,27,22,509,361,148,2019
------,Straftaten insgesamt,4011000,Bremen,insg.,10219,6129,4090,71,31,40,403,183,220,474,214,260,811,456,355,933,591,342,7388,4530,2858,613,338,275,8001,4868,3133,2019
------,Straftaten insgesamt,4012000,Bremerhaven,voll.,2420,1376,1044,21,10,11,122,66,56,143,76,67,211,122,89,170,83,87,1777,1024,753,119,71,48,1896,1095,801,2019
------,Straftaten insgesamt,4012000,Bremerhaven,vers.,114,76,38,0,0,0,1,1,0,1,1,0,6,3,3,11,7,4,88,59,29,8,6,2,96,65,31,2019
------,Straftaten insgesamt,4012000,Bremerhaven,insg.,2534,1452,1082,21,10,11,123,67,56,144,77,67,217,125,92,181,90,91,1865,1083,782,127,77,50,1992,1160,832,2019
------,Straftaten insgesamt,14511000,Chemnitz,voll.,2719,1634,1085,52,32,20,195,90,105,247,122,125,233,128,105,226,130,96,1831,1161,670,182,93,89,2013,1254,759,2019
------,Straftaten insgesamt,14511000,Chemnitz,vers.,176,130,46,2,1,1,9,4,5,11,5,6,11,9,2,7,7,0,140,106,34,7,3,4,147,109,38,2019
------,Straftaten insgesamt,14511000,Chemnitz,insg.,2895,1764,1131,54,33,21,204,94,110,258,127,131,244,137,107,233,137,96,1971,1267,704,189,96,93,2160,1363,797,2019
------,Straftaten insgesamt,12052000,Cottbus,voll.,1785,1044,741,12,6,6,138,69,69,150,75,75,159,66,93,172,99,73,1179,730,449,125,74,51,1304,804,500,2019
------,Straftaten insgesamt,12052000,Cottbus,vers.,115,67,48,3,2,1,11,4,7,14,6,8,13,4,9,6,3,3,72,48,24,10,6,4,82,54,28,2019
------,Straftaten insgesamt,12052000,Cottbus,insg.,1900,1111,789,15,8,7,149,73,76,164,81,83,172,70,102,178,102,76,1251,778,473,135,80,55,1386,858,528,2019
------,Straftaten insgesamt,6411000,Darmstadt,voll.,1582,964,618,12,6,6,60,31,29,72,37,35,93,52,41,130,72,58,1195,748,447,92,55,37,1287,803,484,2019
------,Straftaten insgesamt,6411000,Darmstadt,vers.,66,41,25,0,0,0,3,2,1,3,2,1,5,1,4,5,5,0,47,29,18,6,4,2,53,33,20,2019
------,Straftaten insgesamt,6411000,Darmstadt,insg.,1648,1005,643,12,6,6,63,33,30,75,39,36,98,53,45,135,77,58,1242,777,465,98,59,39,1340,836,504,2019
------,Straftaten insgesamt,5913000,Dortmund,voll.,11551,7174,4377,63,38,25,573,327,246,636,365,271,826,471,355,970,588,382,8559,5426,3133,560,324,236,9119,5750,3369,2019
------,Straftaten insgesamt,5913000,Dortmund,vers.,680,451,229,2,1,1,44,28,16,46,29,17,64,38,26,54,35,19,458,313,145,58,36,22,516,349,167,2019
------,Straftaten insgesamt,5913000,Dortmund,insg.,12231,7625,4606,65,39,26,617,355,262,682,394,288,890,509,381,1024,623,401,9017,5739,3278,618,360,258,9635,6099,3536,2019
------,Straftaten insgesamt,14612000,Dresden,voll.,6376,4000,2376,105,50,55,482,232,250,587,282,305,535,332,203,513,334,179,4411,2864,1547,330,188,142,4741,3052,1689,2019
------,Straftaten insgesamt,14612000,Dresden,vers.,445,319,126,6,4,2,17,11,6,23,15,8,23,14,9,34,26,8,340,248,92,25,16,9,365,264,101,2019
------,Straftaten insgesamt,14612000,Dresden,insg.,6821,4319,2502,111,54,57,499,243,256,610,297,313,558,346,212,547,360,187,4751,3112,1639,355,204,151,5106,3316,1790,2019
------,Straftaten insgesamt,5112000,Duisburg,voll.,7773,4230,3543,68,37,31,513,298,215,581,335,246,664,375,289,612,301,311,5465,2990,2475,451,229,222,5916,3219,2697,2019
------,Straftaten insgesamt,5112000,Duisburg,vers.,518,314,204,3,3,0,35,19,16,38,22,16,53,36,17,38,26,12,354,210,144,35,20,15,389,230,159,2019
------,Straftaten insgesamt,5112000,Duisburg,insg.,8291,4544,3747,71,40,31,548,317,231,619,357,262,717,411,306,650,327,323,5819,3200,2619,486,249,237,6305,3449,2856,2019
------,Straftaten insgesamt,5111000,D sseldorf,voll.,9755,6078,3677,50,33,17,341,200,141,391,233,158,745,449,296,897,573,324,7208,4515,2693,514,308,206,7722,4823,2899,2019
------,Straftaten insgesamt,5111000,D sseldorf,vers.,573,371,202,4,2,2,25,11,14,29,13,16,30,17,13,44,23,21,425,292,133,45,26,19,470,318,152,2019
------,Straftaten insgesamt,5111000,D sseldorf,insg.,10328,6449,3879,54,35,19,366,211,155,420,246,174,775,466,309,941,596,345,7633,4807,2826,559,334,225,8192,5141,3051,2019
------,Straftaten insgesamt,16051000,Erfurt,voll.,3005,1794,1211,28,14,14,234,117,117,262,131,131,222,120,102,291,184,107,2068,1280,788,162,79,83,2230,1359,871,2019
------,Straftaten insgesamt,16051000,Erfurt,vers.,309,197,112,4,2,2,25,15,10,29,17,12,24,18,6,30,19,11,209,133,76,17,10,7,226,143,83,2019
------,Straftaten insgesamt,16051000,Erfurt,insg.,3314,1991,1323,32,16,16,259,132,127,291,148,143,246,138,108,321,203,118,2277,1413,864,179,89,90,2456,1502,954,2019
