Schluessel;Straftat;Gemeindeschluessel;Stadt;Sexus;Tatverdaechtige insgesamt - Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder bis unter 14 Jahre insgesamt (Anzahl Spalte 7 bis 11);Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt (Anzahl Spalte 13 und 14);Heranwachsende 18 bis unter 21 Jahre - Anzahl;Tatverdaechtige insgesamt unter 21 Jahre (Anzahl Spalte 12, 15 und 16);Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 21 bis unter 25 Jahre (Anzahl Spalte 18 und 19);Erwachsene 25 bis unter 30 Jahre;Erwachsene 30 bis unter 40 Jahre;Erwachsene 40 bis unter 50 Jahre;Erwachsene 50 bis unter 60 Jahre;Erwachsene 60 Jahre und aelter;Erwachsene ab 21 Jahre (Anzahl Spalten 20 bis 25)
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;15003000;Magdeburg;M;206;0;0;0;0;0;0;8;12;20;14;34;19;12;31;32;63;32;8;6;172
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;15003000;Magdeburg;W;28;0;0;0;0;0;0;4;2;6;2;8;0;3;3;1;11;3;1;1;20
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;15003000;Magdeburg;X;234;0;0;0;0;0;0;12;14;26;16;42;19;15;34;33;74;35;9;7;192
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;7315000;Mainz;M;85;0;0;0;0;0;0;0;3;3;4;7;5;11;16;20;23;11;6;2;78
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;7315000;Mainz;W;24;0;0;0;0;0;0;1;1;2;1;3;1;4;5;3;6;3;3;1;21
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;7315000;Mainz;X;109;0;0;0;0;0;0;1;4;5;5;10;6;15;21;23;29;14;9;3;99
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;8222000;Mannheim;M;162;0;0;0;0;1;1;2;9;11;17;29;13;13;26;30;45;17;13;2;133
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;8222000;Mannheim;W;25;0;0;0;0;0;0;0;0;0;2;2;1;3;4;4;10;2;3;0;23
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;8222000;Mannheim;X;187;0;0;0;0;1;1;2;9;11;19;31;14;16;30;34;55;19;16;2;156
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5170024;Moers;M;39;0;0;0;0;0;0;2;5;7;2;9;4;4;8;3;13;3;2;1;30
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5170024;Moers;W;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;0;0;5
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5170024;Moers;X;44;0;0;0;0;0;0;2;5;7;2;9;4;5;9;5;14;4;2;1;35
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5116000;Mönchengladbach;M;147;0;0;0;0;0;0;3;3;6;12;18;9;12;21;27;45;28;6;2;129
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5116000;Mönchengladbach;W;39;0;0;0;0;1;1;1;0;1;1;3;5;4;9;5;12;6;2;2;36
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5116000;Mönchengladbach;X;186;0;0;0;0;1;1;4;3;7;13;21;14;16;30;32;57;34;8;4;165
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5117000;Mülheim an der Ruhr;M;64;0;0;0;0;0;0;1;1;2;5;7;5;1;6;14;20;8;4;5;57
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5117000;Mülheim an der Ruhr;W;11;0;0;0;0;0;0;2;0;2;0;2;0;0;0;1;4;1;2;1;9
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5117000;Mülheim an der Ruhr;X;75;0;0;0;0;0;0;3;1;4;5;9;5;1;6;15;24;9;6;6;66
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;9162000;München;M;701;0;0;0;0;0;0;8;26;34;66;100;40;49;89;145;180;111;56;20;601
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;9162000;München;W;146;0;0;0;0;1;1;7;5;12;6;19;13;4;17;24;38;31;12;5;127
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;9162000;München;X;847;0;0;0;0;1;1;15;31;46;72;119;53;53;106;169;218;142;68;25;728
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5515000;Münster;M;180;0;0;0;0;0;0;0;10;10;18;28;19;15;34;31;54;23;7;3;152
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5515000;Münster;W;29;0;0;0;0;0;0;1;2;3;2;5;1;0;1;3;10;4;3;3;24
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5515000;Münster;X;209;0;0;0;0;0;0;1;12;13;20;33;20;15;35;34;64;27;10;6;176
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5162024;Neuss;M;57;0;0;0;0;1;1;1;3;4;3;8;3;5;8;11;13;12;5;0;49
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5162024;Neuss;W;9;0;0;0;0;0;0;0;0;0;0;0;2;0;2;1;1;3;1;1;9
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5162024;Neuss;X;66;0;0;0;0;1;1;1;3;4;3;8;5;5;10;12;14;15;6;1;58
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;9564000;Nürnberg;M;261;0;0;0;0;0;0;3;12;15;20;35;18;20;38;48;78;35;21;6;226
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;9564000;Nürnberg;W;45;0;0;0;0;0;0;1;3;4;3;7;2;2;4;5;13;9;7;0;38
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;9564000;Nürnberg;X;306;0;0;0;0;0;0;4;15;19;23;42;20;22;42;53;91;44;28;6;264
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5119000;Oberhausen;M;86;0;0;0;0;1;1;5;2;7;10;18;6;6;12;19;22;7;6;2;68
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5119000;Oberhausen;W;20;0;0;0;0;0;0;2;2;4;2;6;0;0;0;2;8;1;3;0;14
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5119000;Oberhausen;X;106;0;0;0;0;1;1;7;4;11;12;24;6;6;12;21;30;8;9;2;82
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;6413000;Offenbach am Main;M;50;0;0;0;0;0;0;1;3;4;3;7;7;3;10;11;7;9;3;3;43
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;6413000;Offenbach am Main;W;18;0;0;0;0;0;0;0;0;0;3;3;2;3;5;1;3;2;2;2;15
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;6413000;Offenbach am Main;X;68;0;0;0;0;0;0;1;3;4;6;10;9;6;15;12;10;11;5;5;58
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;3403000;Oldenburg (Oldenburg);M;59;0;0;0;0;1;1;0;3;3;7;11;8;3;11;8;20;5;2;2;48
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;3403000;Oldenburg (Oldenburg);W;8;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;2;3;1;0;7
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;3403000;Oldenburg (Oldenburg);X;67;0;0;0;0;1;1;1;3;4;7;12;8;4;12;8;22;8;3;2;55
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;3404000;Osnabrück;M;125;0;0;0;0;0;0;2;5;7;9;16;9;9;18;21;39;20;7;4;109
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;3404000;Osnabrück;W;20;0;0;0;0;1;1;0;3;3;3;7;1;0;1;2;5;4;0;1;13
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;3404000;Osnabrück;X;145;0;0;0;0;1;1;2;8;10;12;23;10;9;19;23;44;24;7;5;122
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5774032;Paderborn;M;74;0;0;0;0;0;0;1;2;3;4;7;8;4;12;11;22;19;3;0;67
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5774032;Paderborn;W;18;0;0;0;0;1;1;1;0;1;2;4;2;1;3;1;4;2;3;1;14
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5774032;Paderborn;X;92;0;0;0;0;1;1;2;2;4;6;11;10;5;15;12;26;21;6;1;81
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;8231000;Pforzheim;M;55;0;0;0;0;0;0;1;3;4;7;11;6;4;10;9;13;10;2;0;44
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;8231000;Pforzheim;W;17;0;0;0;0;0;0;2;1;3;1;4;2;1;3;2;3;1;2;2;13
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;8231000;Pforzheim;X;72;0;0;0;0;0;0;3;4;7;8;15;8;5;13;11;16;11;4;2;57
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;12054000;Potsdam;M;66;0;0;0;0;0;0;1;1;2;5;7;5;5;10;9;19;11;4;6;59
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;12054000;Potsdam;W;26;0;0;0;1;0;1;0;1;1;1;3;2;2;4;3;3;7;5;1;23
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;12054000;Potsdam;X;92;0;0;0;1;0;1;1;2;3;6;10;7;7;14;12;22;18;9;7;82
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5562032;Recklinghausen;M;51;0;0;0;0;0;0;0;1;1;5;6;4;4;8;8;10;11;6;2;45
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5562032;Recklinghausen;W;10;0;0;0;0;0;0;1;2;3;0;3;0;0;0;1;1;4;1;0;7
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5562032;Recklinghausen;X;61;0;0;0;0;0;0;1;3;4;5;9;4;4;8;9;11;15;7;2;52
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;9362000;Regensburg;M;93;0;0;0;0;0;0;2;4;6;12;18;6;3;9;18;30;12;4;2;75
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;9362000;Regensburg;W;25;0;0;0;0;0;0;0;2;2;3;5;4;0;4;0;5;7;2;2;20
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;9362000;Regensburg;X;118;0;0;0;0;0;0;2;6;8;15;23;10;3;13;18;35;19;6;4;95
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5120000;Remscheid;M;68;0;0;0;0;0;0;2;1;3;3;6;3;5;8;9;18;14;8;5;62
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5120000;Remscheid;W;22;0;0;0;0;0;0;0;3;3;1;4;0;0;0;3;7;3;3;2;18
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5120000;Remscheid;X;90;0;0;0;0;0;0;2;4;6;4;10;3;5;8;12;25;17;11;7;80
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;8415061;Reutlingen;M;56;0;0;0;0;0;0;1;5;6;10;16;1;4;5;10;12;9;2;2;40
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;8415061;Reutlingen;W;20;0;0;0;0;0;0;0;1;1;1;2;1;2;3;0;11;2;2;0;18
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;8415061;Reutlingen;X;76;0;0;0;0;0;0;1;6;7;11;18;2;6;8;10;23;11;4;2;58
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;13003000;Rostock, Hanse- und Universitätsstadt;M;142;0;0;0;0;2;2;3;6;9;12;23;12;8;20;17;41;27;10;4;119
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;13003000;Rostock, Hanse- und Universitätsstadt;W;23;0;0;0;0;1;1;4;3;7;1;9;2;1;3;1;4;2;3;1;14
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;13003000;Rostock, Hanse- und Universitätsstadt;X;165;0;0;0;0;3;3;7;9;16;13;32;14;9;23;18;45;29;13;5;133
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;10041100;Saarbrücken;M;158;0;0;0;0;1;1;3;3;6;15;22;12;18;30;28;44;23;10;1;136
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;10041100;Saarbrücken;W;33;0;0;0;0;0;0;1;1;2;3;5;2;5;7;6;7;4;1;3;28
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;10041100;Saarbrücken;X;191;0;0;0;0;1;1;4;4;8;18;27;14;23;37;34;51;27;11;4;164
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;3102000;Salzgitter;M;35;0;0;0;0;0;0;1;1;2;3;5;2;5;7;5;11;2;2;3;30
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;3102000;Salzgitter;W;5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;2;1;0;5
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;3102000;Salzgitter;X;40;0;0;0;0;0;0;1;1;2;3;5;3;5;8;6;11;4;3;3;35
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;13004000;Schwerin;M;82;0;0;0;0;0;0;0;2;2;4;6;2;6;8;12;32;14;7;3;76
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;13004000;Schwerin;W;17;0;0;0;0;0;0;5;1;6;2;8;1;1;2;0;3;1;2;1;9
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;13004000;Schwerin;X;99;0;0;0;0;0;0;5;3;8;6;14;3;7;10;12;35;15;9;4;85
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5970040;Siegen;M;65;0;0;0;0;1;1;1;3;4;2;7;6;9;15;11;19;8;4;1;58
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5970040;Siegen;W;17;0;0;0;0;1;1;2;0;2;3;6;0;0;0;1;5;2;1;2;11
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5970040;Siegen;X;82;0;0;0;0;2;2;3;3;6;5;13;6;9;15;12;24;10;5;3;69
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5122000;Solingen;M;72;0;0;0;0;1;1;2;1;3;6;10;4;5;9;6;22;13;11;1;62
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5122000;Solingen;W;23;0;0;0;0;0;0;2;0;2;0;2;2;1;3;4;6;5;1;2;21
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5122000;Solingen;X;95;0;0;0;0;1;1;4;1;5;6;12;6;6;12;10;28;18;12;3;83
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;8111000;Stuttgart;M;603;0;0;1;0;1;2;7;23;30;48;80;57;52;109;118;162;67;52;15;523
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;8111000;Stuttgart;W;100;0;0;0;1;1;2;1;6;7;11;20;7;3;10;14;20;15;16;5;80
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;8111000;Stuttgart;X;703;0;0;1;1;2;4;8;29;37;59;100;64;55;119;132;182;82;68;20;603
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;7211000;Trier;M;71;0;0;0;0;0;0;3;2;5;7;12;4;4;8;4;25;13;5;4;59
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;7211000;Trier;W;16;0;0;0;0;0;0;3;0;3;4;7;1;1;2;2;3;2;0;0;9
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;7211000;Trier;X;87;0;0;0;0;0;0;6;2;8;11;19;5;5;10;6;28;15;5;4;68
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;8421000;Ulm;M;67;0;0;0;0;0;0;0;3;3;3;6;6;3;9;14;21;12;4;1;61
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;8421000;Ulm;W;14;0;0;0;0;0;0;1;0;1;2;3;1;0;1;1;3;2;2;2;11
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;8421000;Ulm;X;81;0;0;0;0;0;0;1;3;4;5;9;7;3;10;15;24;14;6;3;72
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;6414000;Wiesbaden;M;93;0;0;0;0;0;0;1;2;3;11;14;7;7;14;15;18;15;12;5;79
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;6414000;Wiesbaden;W;20;0;0;0;0;1;1;1;0;1;2;4;0;1;1;4;3;4;4;0;16
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;6414000;Wiesbaden;X;113;0;0;0;0;1;1;2;2;4;13;18;7;8;15;19;21;19;16;5;95
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;3103000;Wolfsburg;M;58;0;0;0;0;0;0;0;2;2;3;5;3;4;7;14;24;3;4;1;53
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;3103000;Wolfsburg;W;6;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;0;6
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;3103000;Wolfsburg;X;64;0;0;0;0;0;0;0;2;2;3;5;3;5;8;15;25;5;5;1;59
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5124000;Wuppertal;M;198;0;0;0;0;0;0;2;6;8;18;26;20;10;30;36;49;36;15;6;172
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5124000;Wuppertal;W;35;0;0;0;0;0;0;0;2;2;6;8;1;2;3;5;7;6;4;2;27
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;5124000;Wuppertal;X;233;0;0;0;0;0;0;2;8;10;24;34;21;12;33;41;56;42;19;8;199
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;9663000;Würzburg;M;61;0;0;0;0;0;0;0;3;3;7;10;8;3;11;9;12;9;6;4;51
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;9663000;Würzburg;W;11;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;4;4;1;1;10
621100;Widerstand gegen und tätlicher Angriff auf Vollstreckungsbeamte und gleichstehende Personen §§ 113-115 StGB;9663000;Würzburg;X;72;0;0;0;0;0;0;0;4;4;7;11;8;3;11;9;16;13;7;5;61
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;5334002;Aachen;M;88;0;0;0;0;0;0;5;4;9;7;16;6;11;17;14;23;13;3;2;72
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;5334002;Aachen;W;17;0;0;0;0;0;0;0;0;0;2;2;1;0;1;2;7;2;2;1;15
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;5334002;Aachen;X;105;0;0;0;0;0;0;5;4;9;9;18;7;11;18;16;30;15;5;3;87
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;9761000;Augsburg;M;95;0;0;0;0;1;1;2;5;7;9;17;3;9;12;16;26;11;9;4;78
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;9761000;Augsburg;W;16;0;0;0;0;0;0;0;3;3;1;4;1;4;5;2;0;2;3;0;12
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;9761000;Augsburg;X;111;0;0;0;0;1;1;2;8;10;10;21;4;13;17;18;26;13;12;4;90
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;5378004;Bergisch Gladbach;M;28;0;0;0;0;0;0;1;1;2;5;7;0;0;0;3;10;2;4;2;21
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;5378004;Bergisch Gladbach;W;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;0;0;0;4
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;5378004;Bergisch Gladbach;X;32;0;0;0;0;0;0;1;1;2;5;7;0;1;1;5;11;2;4;2;25
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;11000000;Berlin;M;1,920;0;0;0;3;6;9;28;68;96;160;265;108;140;248;344;549;303;147;64;1,655
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;11000000;Berlin;W;391;0;0;0;0;3;3;7;10;17;43;63;28;29;57;56;98;71;27;19;328
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;11000000;Berlin;X;2,311;0;0;0;3;9;12;35;78;113;203;328;136;169;305;400;647;374;174;83;1,983
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;5711000;Bielefeld;M;101;0;0;0;0;0;0;1;5;6;12;18;6;6;12;19;30;10;5;7;83
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;5711000;Bielefeld;W;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;1;2;11
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;5711000;Bielefeld;X;112;0;0;0;0;0;0;1;5;6;12;18;6;6;12;21;32;14;6;9;94
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;5911000;Bochum;M;119;0;0;0;0;0;0;5;8;13;6;19;12;7;19;16;37;16;8;4;100
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;5911000;Bochum;W;21;0;0;0;0;0;0;1;1;2;1;3;1;2;3;2;6;3;3;1;18
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;5911000;Bochum;X;140;0;0;0;0;0;0;6;9;15;7;22;13;9;22;18;43;19;11;5;118
621110;Widerstand gegen Vollstreckungsbeamte und gleichstehende Personen §§ 113, 115 StGB;5314000;Bonn;M;111;0;0;0;0;0;0;2;5;7;13;20;7;11;18;13;36;13;8;3;91
