Schluessel;Straftat;Gemeindeschluessel;Stadt;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasse Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufkaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an Gesamtzahl;
------;Straftaten insgesamt;9362000;Regensburg;16,769;10,650.80;712;4.2;9;6;11,827;70.5;8,394;6,491;1,903;5,259;62.7;0
------;Straftaten insgesamt;5120000;Remscheid;7,547;6,701.70;529;7;5;3;4,600;61;3,548;2,568;980;1,261;35.5;0
------;Straftaten insgesamt;8415061;Reutlingen;7,619;6,481.70;468;6.1;4;2;4,775;62.7;3,246;2,383;863;1,343;41.4;0
------;Straftaten insgesamt;13003000;Rostock, Hanse- und Universitätsstadt;18,795;8,953.40;886;4.7;1;3;10,918;58.1;7,126;5,339;1,787;1,903;26.7;0
------;Straftaten insgesamt;10041100;Saarbrücken;23,650;12,997.40;1,319;5.6;18;7;14,022;59.3;9,824;7,247;2,577;4,615;47;0
------;Straftaten insgesamt;3102000;Salzgitter;7,034;6,728.00;432;6.1;11;16;4,634;65.9;3,394;2,510;884;1,364;40.2;0
------;Straftaten insgesamt;13004000;Schwerin;11,421;11,945.50;472;4.1;0;0;7,898;69.2;5,655;4,237;1,418;2,668;47.2;0
------;Straftaten insgesamt;5970040;Siegen;9,289;9,057.10;625;6.7;14;12;5,984;64.4;4,029;2,984;1,045;1,432;35.5;0
------;Straftaten insgesamt;5122000;Solingen;11,838;7,369.10;737;6.2;4;5;5,983;50.5;4,729;3,463;1,266;1,718;36.3;0
------;Straftaten insgesamt;8111000;Stuttgart;55,577;8,781.80;3,127;5.6;15;9;35,391;63.7;25,305;19,617;5,688;13,911;55;0
------;Straftaten insgesamt;7211000;Trier;13,712;12,221.60;620;4.5;7;3;10,061;73.4;7,936;6,128;1,808;5,307;66.9;0
------;Straftaten insgesamt;8421000;Ulm;10,210;7,919.10;360;3.5;4;5;6,955;68.1;5,405;4,103;1,302;3,011;55.7;0
------;Straftaten insgesamt;6414000;Wiesbaden;20,593;7,274.50;1,152;5.6;19;11;12,586;61.1;8,971;6,557;2,414;3,835;42.7;0
------;Straftaten insgesamt;3103000;Wolfsburg;9,477;7,523.80;532;5.6;15;4;5,355;56.5;3,790;2,840;950;1,436;37.9;0
------;Straftaten insgesamt;5124000;Wuppertal;32,529;9,064.10;2,341;7.2;35;30;18,333;56.4;13,302;9,602;3,700;5,662;42.6;0
------;Straftaten insgesamt;9663000;Würzburg;10,723;8,389.80;427;4;11;6;7,758;72.3;5,406;4,280;1,126;2,642;48.9;0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5334002;Aachen;49;19.4;12;24.5;1;0;40;81.6;43;41;2;22;51.2;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9761000;Augsburg;38;12.6;1;2.6;0;0;32;84.2;37;37;0;14;37.8;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5378004;Bergisch Gladbach;14;12.4;2;14.3;0;0;10;71.4;10;10;0;4;40;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;11000000;Berlin;1,171;31.2;111;9.5;3;0;799;68.2;785;770;15;370;47.1;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5711000;Bielefeld;85;25.1;3;3.5;0;0;68;80;70;70;0;29;41.4;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5911000;Bochum;52;14.2;7;13.5;0;0;41;78.8;49;48;1;17;34.7;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5314000;Bonn;61;18.1;7;11.5;0;0;45;73.8;48;47;1;22;45.8;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5512000;Bottrop;21;17.8;3;14.3;1;0;18;85.7;20;20;0;10;50;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;3101000;Braunschweig;70;27.8;7;10;0;0;60;85.7;61;57;4;21;34.4;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;4011000;Bremen;146;25.6;12;8.2;0;0;108;74;99;99;0;42;42.4;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;4012000;Bremerhaven;43;37.2;3;7;0;0;30;69.8;30;29;1;8;26.7;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;14511000;Chemnitz;29;11.7;2;6.9;0;0;26;89.7;23;23;0;12;52.2;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;6411000;Darmstadt;31;19.1;1;3.2;0;0;29;93.5;30;30;0;11;36.7;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5913000;Dortmund;177;29.8;24;13.6;0;0;130;73.4;131;130;1;54;41.2;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;14612000;Dresden;66;11.7;5;7.6;0;0;64;97;64;63;1;28;43.8;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5112000;Duisburg;96;19.1;4;4.2;0;0;88;91.7;92;90;2;38;41.3;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5111000;Düsseldorf;164;26.1;13;7.9;1;0;134;81.7;140;139;1;47;33.6;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;16051000;Erfurt;12;5.6;2;16.7;0;0;11;91.7;11;11;0;5;45.5;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9562000;Erlangen;10;8.6;0;0;0;0;9;90;9;9;0;6;66.7;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5113000;Essen;136;23.3;9;6.6;0;0;112;82.4;122;120;2;44;36.1;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;6412000;Frankfurt am Main;183;23.7;20;10.9;1;0;135;73.8;142;142;0;91;64.1;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;8311000;Freiburg im Breisgau;33;14;4;12.1;0;0;29;87.9;29;29;0;15;51.7;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;9563000;Fürth;19;14.5;1;5.3;0;0;18;94.7;18;18;0;8;44.4;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5513000;Gelsenkirchen;55;20.9;4;7.3;1;0;39;70.9;41;41;0;9;22;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;3159016;Göttingen;26;21.9;7;26.9;0;0;25;96.2;25;25;0;13;52;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5754008;Gütersloh;21;20.5;4;19;0;0;20;95.2;18;18;0;8;44.4;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;5914000;Hagen;52;27.4;3;5.8;0;0;45;86.5;44;43;1;18;40.9;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;15002000;Halle (Saale);54;22.3;7;13;0;0;49;90.7;49;49;0;17;34.7;565370
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;2000000;Hamburg;266;14.1;27;10.2;2;0;203;76.3;215;206;9;90;41.9;565370
