Schluessel;Straftat;Gemeindeschluessel;Stadt;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasse Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufkaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an Gesamtzahl;
*90*00;Taschendiebstahl insgesamt;11000000;Berlin;16,814;447.7;277;1.6;0;0;952;5.7;618;514;104;563;91.1;1724714
*90*00;Taschendiebstahl insgesamt;5711000;Bielefeld;503;148.7;11;2.2;0;0;45;8.9;40;32;8;34;85;1724714
*90*00;Taschendiebstahl insgesamt;5911000;Bochum;708;193.6;9;1.3;0;0;21;3;23;15;8;19;82.6;1724714
*90*00;Taschendiebstahl insgesamt;5314000;Bonn;978;290.7;17;1.7;0;0;91;9.3;69;49;20;62;89.9;1724714
*90*00;Taschendiebstahl insgesamt;5512000;Bottrop;177;149.9;5;2.8;0;0;2;1.1;4;1;3;4;100;1724714
*90*00;Taschendiebstahl insgesamt;3101000;Braunschweig;448;177.9;7;1.6;0;0;77;17.2;64;54;10;48;75;1724714
*90*00;Taschendiebstahl insgesamt;4011000;Bremen;2,770;486.5;67;2.4;0;0;240;8.7;199;172;27;165;82.9;1724714
*90*00;Taschendiebstahl insgesamt;4012000;Bremerhaven;178;154.2;0;0;0;0;12;6.7;13;9;4;7;53.8;1724714
*90*00;Taschendiebstahl insgesamt;14511000;Chemnitz;314;126.3;9;2.9;0;0;74;23.6;58;54;4;53;91.4;1724714
*90*00;Taschendiebstahl insgesamt;6411000;Darmstadt;166;102.3;0;0;0;0;23;13.9;28;22;6;21;75;1724714
*90*00;Taschendiebstahl insgesamt;5913000;Dortmund;1,747;294.4;29;1.7;0;0;117;6.7;112;84;28;91;81.3;1724714
*90*00;Taschendiebstahl insgesamt;14612000;Dresden;688;122.1;8;1.2;0;0;41;6;40;32;8;28;70;1724714
*90*00;Taschendiebstahl insgesamt;5112000;Duisburg;1,367;272.2;21;1.5;0;0;66;4.8;69;49;20;55;79.7;1724714
*90*00;Taschendiebstahl insgesamt;5111000;Düsseldorf;5,301;842.7;76;1.4;0;0;346;6.5;343;275;68;303;88.3;1724714
*90*00;Taschendiebstahl insgesamt;16051000;Erfurt;231;107.5;5;2.2;0;0;15;6.5;19;19;0;16;84.2;1724714
*90*00;Taschendiebstahl insgesamt;9562000;Erlangen;27;23.2;1;3.7;0;0;3;11.1;2;2;0;2;100;1724714
*90*00;Taschendiebstahl insgesamt;5113000;Essen;1,703;291.3;29;1.7;0;0;91;5.3;84;51;33;72;85.7;1724714
*90*00;Taschendiebstahl insgesamt;6412000;Frankfurt am Main;3,042;393.5;71;2.3;0;0;399;13.1;370;322;48;344;93;1724714
*90*00;Taschendiebstahl insgesamt;8311000;Freiburg im Breisgau;605;256.2;9;1.5;0;0;47;7.8;51;46;5;44;86.3;1724714
*90*00;Taschendiebstahl insgesamt;9563000;Fürth;37;28.2;0;0;0;0;2;5.4;5;4;1;5;100;1724714
*90*00;Taschendiebstahl insgesamt;5513000;Gelsenkirchen;896;340.7;14;1.6;0;0;35;3.9;45;22;23;39;86.7;1724714
*90*00;Taschendiebstahl insgesamt;3159016;Göttingen;155;130.3;0;0;0;0;7;4.5;7;6;1;5;71.4;1724714
*90*00;Taschendiebstahl insgesamt;5754008;Gütersloh;133;129.9;0;0;0;0;4;3;6;3;3;5;83.3;1724714
*90*00;Taschendiebstahl insgesamt;5914000;Hagen;466;245.5;6;1.3;0;0;26;5.6;31;16;15;25;80.6;1724714
*90*00;Taschendiebstahl insgesamt;15002000;Halle (Saale);227;93.8;3;1.3;0;0;13;5.7;16;14;2;6;37.5;1724714
*90*00;Taschendiebstahl insgesamt;2000000;Hamburg;13,328;704.4;209;1.6;0;0;751;5.6;661;564;97;571;86.4;1724714
*90*00;Taschendiebstahl insgesamt;5915000;Hamm;357;197.4;6;1.7;0;0;23;6.4;29;27;2;19;65.5;1724714
*90*00;Taschendiebstahl insgesamt;6435014;Hanau;53;52.3;1;1.9;0;0;6;11.3;4;2;2;2;50;1724714
*90*00;Taschendiebstahl insgesamt;3241001;Hannover;1,590;291.7;39;2.5;0;0;211;13.3;178;150;28;158;88.8;1724714
*90*00;Taschendiebstahl insgesamt;8221000;Heidelberg;407;250.8;13;3.2;0;0;89;21.9;79;68;11;77;97.5;1724714
*90*00;Taschendiebstahl insgesamt;8121000;Heilbronn;73;56.9;1;1.4;0;0;3;4.1;4;3;1;3;75;1724714
*90*00;Taschendiebstahl insgesamt;5916000;Herne;313;198.9;3;1;0;0;5;1.6;8;6;2;2;25;1724714
*90*00;Taschendiebstahl insgesamt;3254021;Hildesheim;116;113.9;2;1.7;0;0;5;4.3;5;3;2;3;60;1724714
*90*00;Taschendiebstahl insgesamt;9161000;Ingolstadt;53;37.6;0;0;0;0;8;15.1;3;3;0;2;66.7;1724714
*90*00;Taschendiebstahl insgesamt;16053000;Jena;95;85.4;1;1.1;0;0;2;2.1;4;3;1;1;25;1724714
*90*00;Taschendiebstahl insgesamt;7312000;Kaiserslautern;164;162;3;1.8;0;0;13;7.9;14;9;5;7;50;1724714
*90*00;Taschendiebstahl insgesamt;8212000;Karlsruhe;605;196;16;2.6;0;0;38;6.3;31;24;7;28;90.3;1724714
*90*00;Taschendiebstahl insgesamt;6611000;Kassel;387;189.5;3;0.8;0;0;22;5.7;28;24;4;19;67.9;1724714
*90*00;Taschendiebstahl insgesamt;1002000;Kiel;543;219.2;18;3.3;0;0;41;7.6;35;27;8;26;74.3;1724714
*90*00;Taschendiebstahl insgesamt;7111000;Koblenz;229;198.7;2;0.9;0;0;10;4.4;15;12;3;13;86.7;1724714
*90*00;Taschendiebstahl insgesamt;5315000;Köln;7,722;711.8;276;3.6;0;0;1,048;13.6;616;485;131;566;91.9;1724714
*90*00;Taschendiebstahl insgesamt;5114000;Krefeld;435;190.4;8;1.8;0;0;14;3.2;18;9;9;15;83.3;1724714
*90*00;Taschendiebstahl insgesamt;14713000;Leipzig;796;129.2;11;1.4;0;0;54;6.8;55;46;9;34;61.8;1724714
*90*00;Taschendiebstahl insgesamt;5316000;Leverkusen;242;146;1;0.4;0;0;15;6.2;22;8;14;20;90.9;1724714
*90*00;Taschendiebstahl insgesamt;1003000;Lübeck;255;116.9;7;2.7;0;0;20;7.8;25;21;4;11;44;1724714
*90*00;Taschendiebstahl insgesamt;7314000;Ludwigshafen am Rhein;164;94.1;2;1.2;0;0;9;5.5;10;5;5;8;80;1724714
*90*00;Taschendiebstahl insgesamt;15003000;Magdeburg;211;88.2;1;0.5;0;0;13;6.2;16;13;3;12;75;1724714
*90*00;Taschendiebstahl insgesamt;7315000;Mainz;266;120.6;3;1.1;0;0;18;6.8;17;11;6;10;58.8;1724714
*90*00;Taschendiebstahl insgesamt;8222000;Mannheim;702;222.5;5;0.7;0;0;56;8;58;41;17;56;96.6;1724714
*90*00;Taschendiebstahl insgesamt;5170024;Moers;227;215.6;2;0.9;0;0;5;2.2;9;6;3;8;88.9;1724714
*90*00;Taschendiebstahl insgesamt;5116000;Mönchengladbach;493;183.6;4;0.8;0;0;17;3.4;19;17;2;12;63.2;1724714
*90*00;Taschendiebstahl insgesamt;5117000;Mülheim an der Ruhr;203;117.7;3;1.5;0;0;12;5.9;14;6;8;11;78.6;1724714
*90*00;Taschendiebstahl insgesamt;9162000;München;1,436;94.9;45;3.1;0;0;238;16.6;176;143;33;136;77.3;1724714
*90*00;Taschendiebstahl insgesamt;5515000;Münster;953;296.9;18;1.9;0;0;118;12.4;104;85;19;93;89.4;1724714
*90*00;Taschendiebstahl insgesamt;5162024;Neuss;386;250.4;5;1.3;0;0;22;5.7;23;17;6;17;73.9;1724714
*90*00;Taschendiebstahl insgesamt;9564000;Nürnberg;406;77.6;4;1;0;0;34;8.4;38;35;3;25;65.8;1724714
*90*00;Taschendiebstahl insgesamt;5119000;Oberhausen;609;288.9;6;1;0;0;63;10.3;28;18;10;26;92.9;1724714
*90*00;Taschendiebstahl insgesamt;6413000;Offenbach am Main;97;72.3;0;0;0;0;5;5.2;3;3;0;2;66.7;1724714
*90*00;Taschendiebstahl insgesamt;3403000;Oldenburg (Oldenburg);354;204.8;8;2.3;0;0;23;6.5;21;15;6;12;57.1;1724714
*90*00;Taschendiebstahl insgesamt;3404000;Osnabrück;375;224.1;4;1.1;0;0;20;5.3;24;20;4;17;70.8;1724714
*90*00;Taschendiebstahl insgesamt;5774032;Paderborn;234;151.2;6;2.6;0;0;19;8.1;14;13;1;6;42.9;1724714
*90*00;Taschendiebstahl insgesamt;8231000;Pforzheim;133;104;0;0;0;0;9;6.8;11;5;6;8;72.7;1724714
*90*00;Taschendiebstahl insgesamt;12054000;Potsdam;155;83.4;2;1.3;0;0;5;3.2;7;3;4;6;85.7;1724714
*90*00;Taschendiebstahl insgesamt;5562032;Recklinghausen;224;200.5;3;1.3;0;0;11;4.9;15;4;11;15;100;1724714
*90*00;Taschendiebstahl insgesamt;9362000;Regensburg;177;112.4;3;1.7;0;0;20;11.3;21;20;1;19;90.5;1724714
*90*00;Taschendiebstahl insgesamt;5120000;Remscheid;188;166.9;1;0.5;0;0;6;3.2;5;1;4;4;80;1724714
*90*00;Taschendiebstahl insgesamt;8415061;Reutlingen;52;44.2;0;0;0;0;5;9.6;5;4;1;3;60;1724714
*90*00;Taschendiebstahl insgesamt;13003000;Rostock, Hanse- und Universitätsstadt;134;63.8;3;2.2;0;0;8;6;10;8;2;4;40;1724714
*90*00;Taschendiebstahl insgesamt;10041100;Saarbrücken;483;265.4;9;1.9;0;0;24;5;25;14;11;21;84;1724714
*90*00;Taschendiebstahl insgesamt;3102000;Salzgitter;49;46.9;0;0;0;0;1;2;1;1;0;0;0;1724714
*90*00;Taschendiebstahl insgesamt;13004000;Schwerin;160;167.3;4;2.5;0;0;20;12.5;22;20;2;15;68.2;1724714
*90*00;Taschendiebstahl insgesamt;5970040;Siegen;125;121.9;0;0;0;0;3;2.4;3;1;2;1;33.3;1724714
*90*00;Taschendiebstahl insgesamt;5122000;Solingen;525;326.8;7;1.3;0;0;11;2.1;15;8;7;10;66.7;1724714
*90*00;Taschendiebstahl insgesamt;8111000;Stuttgart;1,428;225.6;18;1.3;0;0;107;7.5;106;77;29;97;91.5;1724714
*90*00;Taschendiebstahl insgesamt;7211000;Trier;241;214.8;9;3.7;0;0;28;11.6;33;23;10;29;87.9;1724714
*90*00;Taschendiebstahl insgesamt;8421000;Ulm;112;86.9;2;1.8;0;0;8;7.1;6;4;2;5;83.3;1724714
*90*00;Taschendiebstahl insgesamt;6414000;Wiesbaden;479;169.2;4;0.8;0;0;28;5.8;25;12;13;17;68;1724714
*90*00;Taschendiebstahl insgesamt;3103000;Wolfsburg;122;96.9;2;1.6;0;0;10;8.2;11;10;1;7;63.6;1724714
*90*00;Taschendiebstahl insgesamt;5124000;Wuppertal;1,557;433.9;15;1;0;0;53;3.4;55;30;25;43;78.2;1724714
*90*00;Taschendiebstahl insgesamt;9663000;Würzburg;113;88.4;3;2.7;0;0;14;12.4;18;17;1;17;94.4;1724714
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5334002;Aachen;3,908;1,550.00;354;9.1;0;0;2,543;65.1;2,048;1,457;591;961;46.9;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;9761000;Augsburg;2,318;770;106;4.6;0;0;2,017;87;1,875;1,393;482;927;49.4;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5378004;Bergisch Gladbach;558;495.1;52;9.3;0;0;302;54.1;296;180;116;86;29.1;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;11000000;Berlin;69,487;1,850.40;7,168;10.3;0;0;28,890;41.6;19,006;13,464;5,542;8,991;47.3;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5711000;Bielefeld;4,273;1,263.00;428;10;0;0;2,493;58.3;2,164;1,639;525;979;45.2;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5911000;Bochum;4,172;1,140.70;314;7.5;0;0;2,149;51.5;1,750;1,270;480;615;35.1;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5314000;Bonn;4,680;1,390.90;278;5.9;0;0;3,467;74.1;2,883;1,930;953;1,223;42.4;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5512000;Bottrop;1,669;1,413.10;92;5.5;0;0;987;59.1;698;465;233;203;29.1;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;3101000;Braunschweig;2,458;976.2;161;6.6;0;0;1,967;80;1,605;1,182;423;631;39.3;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;4011000;Bremen;10,217;1,794.40;1,547;15.1;0;0;3,508;34.3;2,820;2,054;766;1,195;42.4;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;4012000;Bremerhaven;1,533;1,327.60;328;21.4;0;0;744;48.5;497;332;165;141;28.4;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;14511000;Chemnitz;1,973;793.8;127;6.4;0;0;1,541;78.1;1,281;865;416;345;26.9;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;6411000;Darmstadt;1,252;771.7;103;8.2;0;0;857;68.5;728;549;179;316;43.4;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5913000;Dortmund;10,239;1,725.70;517;5;0;0;8,011;78.2;5,095;3,728;1,367;2,144;42.1;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;14612000;Dresden;6,783;1,204.10;602;8.9;0;0;5,074;74.8;3,970;2,774;1,196;1,356;34.2;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5112000;Duisburg;6,779;1,349.80;645;9.5;0;0;4,745;70;3,989;2,807;1,182;1,789;44.8;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5111000;Düsseldorf;10,389;1,651.50;1,130;10.9;0;0;4,832;46.5;4,128;3,077;1,051;1,851;44.8;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;16051000;Erfurt;4,275;1,988.70;236;5.5;0;0;3,651;85.4;2,959;2,163;796;1,554;52.5;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;9562000;Erlangen;514;441;81;15.8;0;0;392;76.3;406;269;137;157;38.7;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5113000;Essen;9,518;1,628.20;1,034;10.9;0;0;3,784;39.8;3,213;2,313;900;1,215;37.8;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;6412000;Frankfurt am Main;15,456;1,999.30;650;4.2;0;0;12,513;81;8,775;6,868;1,907;5,268;60;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;8311000;Freiburg im Breisgau;3,657;1,548.70;260;7.1;0;0;2,717;74.3;2,494;1,973;521;1,719;68.9;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;9563000;Fürth;673;512;40;5.9;0;0;562;83.5;519;343;176;219;42.2;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5513000;Gelsenkirchen;2,612;993.2;189;7.2;0;0;1,495;57.2;1,322;943;379;536;40.5;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;3159016;Göttingen;1,528;1,284.60;84;5.5;0;0;1,190;77.9;1,057;824;233;561;53.1;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5754008;Gütersloh;1,077;1,051.80;144;13.4;0;0;788;73.2;521;390;131;262;50.3;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5914000;Hagen;2,512;1,323.60;238;9.5;0;0;1,726;68.7;1,398;998;400;669;47.9;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;15002000;Halle (Saale);2,831;1,169.40;171;6;0;0;2,401;84.8;1,768;1,311;457;972;55;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;2000000;Hamburg;26,324;1,391.20;2,173;8.3;0;0;12,487;47.4;9,015;6,915;2,100;4,794;53.2;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5915000;Hamm;2,191;1,211.50;132;6;0;0;1,474;67.3;1,331;1,016;315;720;54.1;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;6435014;Hanau;1,728;1,704.70;101;5.8;0;0;1,477;85.5;1,265;902;363;692;54.7;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;3241001;Hannover;9,463;1,736.20;574;6.1;0;0;6,453;68.2;5,161;3,910;1,251;2,659;51.5;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;8221000;Heidelberg;1,785;1,100.00;255;14.3;0;0;1,244;69.7;1,098;783;315;581;52.9;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;8121000;Heilbronn;1,180;919.5;179;15.2;0;0;768;65.1;653;446;207;337;51.6;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5916000;Herne;1,547;983;105;6.8;0;0;1,008;65.2;817;572;245;299;36.6;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;3254021;Hildesheim;767;753;107;14;0;0;494;64.4;461;316;145;150;32.5;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;9161000;Ingolstadt;1,215;861.5;217;17.9;0;0;1,005;82.7;869;648;221;505;58.1;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;16053000;Jena;1,015;912.8;106;10.4;0;0;547;53.9;425;304;121;150;35.3;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;7312000;Kaiserslautern;1,261;1,245.70;111;8.8;0;0;858;68;621;432;189;222;35.7;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;8212000;Karlsruhe;4,361;1,412.70;391;9;0;0;3,399;77.9;2,999;2,345;654;1,916;63.9;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;6611000;Kassel;2,545;1,246.30;104;4.1;0;0;1,935;76;1,595;1,175;420;890;55.8;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;1002000;Kiel;1,976;797.7;217;11;0;0;1,133;57.3;935;645;290;260;27.8;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;7111000;Koblenz;1,332;1,155.60;111;8.3;0;0;1,020;76.6;987;806;181;591;59.9;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5315000;Köln;13,691;1,262.00;1,039;7.6;0;0;7,690;56.2;6,535;4,673;1,862;2,936;44.9;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5114000;Krefeld;3,171;1,388.20;206;6.5;0;0;2,513;79.2;2,020;1,340;680;739;36.6;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;14713000;Leipzig;7,825;1,270.10;491;6.3;0;0;5,646;72.2;4,148;2,902;1,246;1,277;30.8;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5316000;Leverkusen;1,064;641.9;135;12.7;0;0;544;51.1;480;325;155;146;30.4;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;1003000;Lübeck;1,396;640.1;131;9.4;0;0;1,016;72.8;862;644;218;304;35.3;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;7314000;Ludwigshafen am Rhein;2,994;1,718.10;273;9.1;0;0;2,024;67.6;1,678;1,144;534;807;48.1;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;15003000;Magdeburg;2,515;1,050.70;138;5.5;0;0;1,859;73.9;1,620;1,160;460;702;43.3;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;7315000;Mainz;2,913;1,320.80;152;5.2;0;0;2,454;84.2;2,012;1,478;534;1,015;50.4;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;8222000;Mannheim;6,840;2,167.60;447;6.5;0;0;5,161;75.5;4,308;3,183;1,125;2,638;61.2;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5170024;Moers;736;699;160;21.7;0;0;554;75.3;395;285;110;108;27.3;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5116000;Mönchengladbach;3,796;1,414.00;356;9.4;0;0;2,201;58;1,705;1,160;545;525;30.8;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5117000;Mülheim an der Ruhr;2,461;1,427.50;329;13.4;0;0;911;37;823;588;235;295;35.8;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;9162000;München;11,732;775.7;617;5.3;0;0;8,723;74.4;7,841;5,370;2,471;4,181;53.3;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5515000;Münster;3,698;1,152.20;198;5.4;0;0;2,598;70.3;1,962;1,491;471;920;46.9;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5162024;Neuss;1,480;960.2;121;8.2;0;0;888;60;844;623;221;318;37.7;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;9564000;Nürnberg;5,080;971.3;767;15.1;0;0;3,793;74.7;3,541;2,642;899;2,005;56.6;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5119000;Oberhausen;2,692;1,276.90;206;7.7;0;0;1,484;55.1;1,241;885;356;454;36.6;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;6413000;Offenbach am Main;1,383;1,030.80;77;5.6;0;0;1,135;82.1;861;645;216;417;48.4;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;3403000;Oldenburg (Oldenburg);1,659;959.9;139;8.4;0;0;1,171;70.6;839;602;237;240;28.6;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;3404000;Osnabrück;2,207;1,318.70;613;27.8;0;0;1,212;54.9;1,074;782;292;444;41.3;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5774032;Paderborn;1,667;1,077.20;69;4.1;0;0;1,381;82.8;1,048;689;359;355;33.9;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;8231000;Pforzheim;1,194;933.9;179;15;0;0;867;72.6;718;500;218;392;54.6;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;12054000;Potsdam;919;494.8;95;10.3;0;0;566;61.6;546;381;165;166;30.4;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5562032;Recklinghausen;1,912;1,711.20;109;5.7;0;0;1,423;74.4;1,016;738;278;322;31.7;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;9362000;Regensburg;1,133;719.6;133;11.7;0;0;843;74.4;759;548;211;333;43.9;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5120000;Remscheid;865;768.1;116;13.4;0;0;533;61.6;509;327;182;167;32.8;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;8415061;Reutlingen;754;641.4;109;14.5;0;0;481;63.8;402;279;123;186;46.3;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;13003000;Rostock, Hanse- und Universitätsstadt;1,802;858.4;58;3.2;0;0;1,554;86.2;1,046;736;310;237;22.7;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;10041100;Saarbrücken;2,406;1,322.30;194;8.1;0;0;1,532;63.7;1,123;829;294;499;44.4;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;3102000;Salzgitter;767;733.6;94;12.3;0;0;529;69;457;326;131;153;33.5;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;13004000;Schwerin;942;985.3;90;9.6;0;0;708;75.2;636;446;190;269;42.3;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5970040;Siegen;632;616.2;56;8.9;0;0;473;74.8;432;306;126;140;32.4;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5122000;Solingen;1,568;976.1;130;8.3;0;0;671;42.8;658;473;185;246;37.4;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;8111000;Stuttgart;7,459;1,178.60;631;8.5;0;0;5,358;71.8;4,344;3,240;1,104;2,557;58.9;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;7211000;Trier;759;676.5;73;9.6;0;0;458;60.3;396;292;104;146;36.9;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;8421000;Ulm;2,093;1,623.40;60;2.9;0;0;1,847;88.2;1,729;1,358;371;1,221;70.6;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;6414000;Wiesbaden;2,588;914.2;109;4.2;0;0;1,876;72.5;1,586;1,127;459;690;43.5;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;3103000;Wolfsburg;988;784.4;73;7.4;0;0;740;74.9;673;499;174;306;45.5;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;5124000;Wuppertal;4,856;1,353.10;364;7.5;0;0;3,270;67.3;2,783;1,849;934;1,243;44.7;1807802
510000;Betrug §§ 263, 263a, 264, 264a, 265, 265a-e StGB ;9663000;Würzburg;1,747;1,366.90;84;4.8;0;0;1,457;83.4;1,319;1,084;235;897;68;1807802
515000;Erschleichen von Leistungen § 265a StGB;5334002;Aachen;1,655;656.4;3;0.2;0;0;1,373;83;1,077;752;325;577;53.6;1816442
515000;Erschleichen von Leistungen § 265a StGB;9761000;Augsburg;1,205;400.3;0;0;0;0;1,191;98.8;1,108;865;243;646;58.3;1816442
515000;Erschleichen von Leistungen § 265a StGB;5378004;Bergisch Gladbach;17;15.1;2;11.8;0;0;16;94.1;16;10;6;8;50;1816442
515000;Erschleichen von Leistungen § 265a StGB;11000000;Berlin;6,577;175.1;13;0.2;0;0;6,449;98.1;5,909;3,960;1,949;3,305;55.9;1816442
515000;Erschleichen von Leistungen § 265a StGB;5711000;Bielefeld;1,034;305.6;0;0;0;0;1,027;99.3;906;757;149;539;59.5;1816442
515000;Erschleichen von Leistungen § 265a StGB;5911000;Bochum;473;129.3;0;0;0;0;466;98.5;384;294;90;155;40.4;1816442
515000;Erschleichen von Leistungen § 265a StGB;5314000;Bonn;2,267;673.8;0;0;0;0;2,259;99.6;1,893;1,224;669;896;47.3;1816442
515000;Erschleichen von Leistungen § 265a StGB;5512000;Bottrop;412;348.8;0;0;0;0;399;96.8;261;178;83;69;26.4;1816442
