Schluessel;Straftat;Gemeindeschluessel;Stadt;Anzahl erfasste Faelle;Haeufigkeitszahl;erfasse Faelle, davon Versuche - Anzahl;erfasste Faelle, davon Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufkaerung - Anzahl Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in % an Gesamtzahl
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5513000;Gelsenkirchen;675;260;94;13.9;1;3;557;82.5;879;715;164;327;37.2
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;3159016;Göttingen;316;266;57;18;0;1;262;82.9;325;274;51;118;36.3
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5754008;Gütersloh;183;181;22;12;0;0;167;91.3;218;176;42;76;34.9
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5914000;Hagen;373;198;54;14.5;2;5;308;82.6;363;307;56;171;47.1
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;15002000;Halle (Saale);787;330;117;14.9;0;3;594;75.5;696;568;128;246;35.3
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;2000000;Hamburg;4,983;270;677;13.6;6;26;3,878;77.8;4,973;4,032;941;2,275;45.7
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5915000;Hamm;352;196;60;17;2;0;302;85.8;405;324;81;170;42
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;3241001;Hannover;1,932;360;265;13.7;3;16;1,517;78.5;1,922;1,671;251;860;44.7
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;8221000;Heidelberg;300;186;54;18;0;0;250;83.3;341;296;45;143;41.9
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;8121000;Heilbronn;234;185;34;14.5;1;2;199;85;269;237;32;133;49.4
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5916000;Herne;318;203;58;18.2;1;1;274;86.2;349;293;56;132;37.8
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;3254021;Hildesheim;236;232;38;16.1;0;1;207;87.7;260;212;48;93;35.8
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;9161000;Ingolstadt;281;205;71;25.3;0;0;237;84.3;283;223;60;118;41.7
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;16053000;Jena;186;167;47;25.3;0;0;152;81.7;169;153;16;56;33.1
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;7312000;Kaiserslautern;336;336;57;17;0;1;286;85.1;336;286;50;88;26.2
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;8212000;Karlsruhe;602;193;126;20.9;0;3;493;81.9;665;579;86;306;46
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;6611000;Kassel;632;313;80;12.7;1;3;531;84;655;542;113;319;48.7
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;1002000;Kiel;494;200;59;11.9;0;1;383;77.5;519;438;81;169;32.6
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;7111000;Koblenz;352;309;40;11.4;0;0;269;76.4;393;308;85;121;30.8
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5315000;Köln;3,220;296;509;15.8;7;15;2,410;74.8;3,670;3,011;659;1,552;42.3
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5114000;Krefeld;475;209;63;13.3;1;1;378;79.6;511;430;81;200;39.1
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;14713000;Leipzig;1,278;215;191;14.9;3;7;965;75.5;1,099;923;176;433;39.4
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5316000;Leverkusen;339;207;64;18.9;1;4;284;83.8;395;325;70;158;40
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;1003000;Lübeck;570;263;79;13.9;0;5;459;80.5;532;447;85;147;27.6
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;7314000;Ludwigshafen am Rhein;529;307;80;15.1;0;3;446;84.3;576;459;117;258;44.8
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;15003000;Magdeburg;679;286;139;20.5;1;13;498;73.3;589;504;85;164;27.8
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;7315000;Mainz;438;200;68;15.5;0;0;364;83.1;515;432;83;223;43.3
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;8222000;Mannheim;655;211;65;9.9;1;1;534;81.5;733;607;126;331;45.2
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5170024;Moers;161;155;30;18.6;0;2;135;83.9;160;139;21;59;36.9
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5116000;Mönchengladbach;563;216;72;12.8;2;2;470;83.5;666;547;119;247;37.1
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5117000;Mülheim an der Ruhr;223;131;28;12.6;1;2;189;84.8;272;216;56;113;41.5
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;9162000;München;2,865;193;497;17.3;0;4;2,370;82.7;3,053;2,530;523;1,682;55.1
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5515000;Münster;480;152;76;15.8;1;0;382;79.6;572;489;83;237;41.4
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5162024;Neuss;225;146;26;11.6;1;1;179;79.6;269;234;35;89;33.1
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;9564000;Nürnberg;1,207;233;212;17.6;1;6;1,008;83.5;1,243;996;247;628;50.5
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5119000;Oberhausen;354;168;50;14.1;0;1;303;85.6;487;385;102;198;40.7
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;6413000;Offenbach am Main;229;176;27;11.8;0;1;200;87.3;281;234;47;153;54.4
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;3403000;Oldenburg (Oldenburg);296;175;44;14.9;0;4;239;80.7;310;259;51;89;28.7
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;3404000;Osnabrück;465;281;40;8.6;0;0;382;82.2;520;431;89;194;37.3
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5774032;Paderborn;319;210;60;18.8;1;1;241;75.5;297;261;36;96;32.3
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;8231000;Pforzheim;314;249;46;14.6;0;1;271;86.3;358;309;49;191;53.4
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;12054000;Potsdam;253;140;49;19.4;0;0;187;73.9;219;193;26;101;46.1
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5562032;Recklinghausen;246;221;37;15;0;2;200;81.3;271;211;60;114;42.1
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;9362000;Regensburg;342;223;51;14.9;0;1;292;85.4;359;311;48;175;48.7
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5120000;Remscheid;174;156;28;16.1;2;3;152;87.4;182;141;41;59;32.4
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;8415061;Reutlingen;234;202;30;12.8;1;1;198;84.6;248;216;32;113;45.6
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;13003000;Rostock;405;194;59;14.6;0;0;320;79;407;337;70;79;19.4
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;10041100;Saarbrücken;650;360;98;15.1;2;1;527;81.1;685;587;98;256;37.4
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;3102000;Salzgitter;225;216;25;11.1;0;0;194;86.2;254;218;36;108;42.5
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;13004000;Schwerin;223;233;41;18.4;0;0;194;87;234;198;36;81;34.6
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5970040;Siegen;198;193;27;13.6;0;5;167;84.3;213;181;32;76;35.7
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5122000;Solingen;254;160;46;18.1;1;0;217;85.4;281;236;45;79;28.1
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;8111000;Stuttgart;1,711;269;315;18.4;1;7;1,382;80.8;1,808;1,525;283;1,004;55.5
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;7211000;Trier;233;209;47;20.2;1;0;204;87.6;242;203;39;90;37.2
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;8421000;Ulm;260;205;34;13.1;2;0;218;83.8;277;245;32;122;44
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;6414000;Wiesbaden;770;277;101;13.1;0;1;679;88.2;813;661;152;316;38.9
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;3103000;Wolfsburg;191;154;26;13.6;0;1;163;85.3;207;182;25;63;30.4
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;5124000;Wuppertal;881;248;143;16.2;2;4;726;82.4;1,012;842;170;426;42.1
222000;Gefährliche und schwere Körperverletzung, Verstümmelung weiblicher Genitalien §§ 224, 226, 226a, 231 StGB;9663000;Würzburg;286;224;55;19.2;0;1;245;85.7;304;249;55;117;38.5
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5334002;Aachen;1,492;599;60;4;0;0;1,251;83.8;1,353;1,050;303;467;34.5
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9761000;Augsburg;2,156;727;168;7.8;2;0;1,998;92.7;1,701;1,338;363;733;43.1
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5378004;Bergisch Gladbach;493;441;27;5.5;0;0;446;90.5;421;322;99;124;29.5
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;11000000;Berlin;30,150;822;2,263;7.5;1;0;25,586;84.9;20,937;16,593;4,344;8,035;38.4
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5711000;Bielefeld;1,500;449;48;3.2;3;0;1,339;89.3;1,286;1,065;221;457;35.5
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5911000;Bochum;2,102;575;86;4.1;1;0;1,835;87.3;1,838;1,435;403;543;29.5
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5314000;Bonn;1,864;565;95;5.1;1;0;1,631;87.5;1,514;1,191;323;506;33.4
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5512000;Bottrop;412;350;18;4.4;0;0;374;90.8;424;322;102;116;27.4
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;3101000;Braunschweig;1,383;555;64;4.6;1;0;1,271;91.9;1,197;950;247;322;26.9
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;4011000;Bremen;3,950;696;171;4.3;3;0;3,450;87.3;3,031;2,463;568;1,156;38.1
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;4012000;Bremerhaven;917;807;20;2.2;0;0;816;89;703;574;129;216;30.7
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;14511000;Chemnitz;1,062;431;23;2.2;0;0;950;89.5;813;672;141;239;29.4
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;6411000;Darmstadt;655;410;19;2.9;0;0;610;93.1;580;456;124;232;40
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5913000;Dortmund;3,666;623;169;4.6;3;0;3,231;88.1;3,352;2,633;719;1,196;35.7
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;14612000;Dresden;2,481;446;109;4.4;1;0;2,171;87.5;1,902;1,559;343;555;29.2
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5112000;Duisburg;2,828;567;96;3.4;1;0;2,475;87.5;2,613;2,023;590;921;35.2
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;5111000;Düsseldorf;3,609;580;139;3.9;0;0;3,087;85.5;3,277;2,690;587;1,254;38.3
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;16051000;Erfurt;1,912;894;136;7.1;0;0;1,660;86.8;1,342;1,090;252;352;26.2
224000;Vorsätzliche einfache Körperverletzung § 223 StGB;9562000;Erlangen;437;388;32;7.3;0;0;411;94.1;378;314;64;138;36.5
