Schluessel;Straftat;Gemeindeschluessel;Stadt;erfasste Faelle;HZ nach Zensus;Versuche - Anzahl;Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;aufgeklaerte Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in %
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;05316000;Leverkusen;8;5;2;25.0;0;0;1;12.5;1;1;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;01003000;Lübeck;3;1;1;33.3;1;0;3;100.0;5;5;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;07314000;Ludwigshafen am Rhein;7;4;3;42.9;5;0;7;100.0;8;8;0;3;37.5
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;15003000;Magdeburg;16;7;2;12.5;2;0;10;62.5;9;8;1;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;07315000;Mainz;6;3;2;33.3;2;0;2;33.3;2;2;0;1;50.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;08222000;Mannheim;10;3;3;30.0;4;0;5;50.0;5;4;1;2;40.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;05170024;Moers;4;4;1;25.0;0;0;1;25.0;1;1;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;05116000;Mönchengladbach;14;5;7;50.0;0;0;5;35.7;12;12;0;5;41.7
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;05117000;Mülheim an der Ruhr;4;2;1;25.0;1;0;2;50.0;2;2;0;1;50.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;09162000;München;28;2;13;46.4;6;0;17;60.7;25;25;0;14;56.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;05515000;Münster;20;6;9;45.0;11;1;11;55.0;9;6;3;1;11.1
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;05162024;Neuss;6;4;0;0.0;1;0;2;33.3;3;3;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;09564000;Nürnberg;14;3;3;21.4;5;0;8;57.1;10;7;3;5;50.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;05119000;Oberhausen;2;1;1;50.0;0;0;1;50.0;1;1;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;06413000;Offenbach am Main;12;9;3;25.0;1;2;6;50.0;12;12;0;3;25.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;03403000;Oldenburg (Oldenburg);18;11;5;27.8;7;0;8;44.4;8;8;0;1;12.5
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;03404000;Osnabrück;16;10;0;0.0;4;0;9;56.3;15;13;2;3;20.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;05774032;Paderborn;3;2;2;66.7;0;0;1;33.3;1;1;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;08231000;Pforzheim;3;2;0;0.0;1;0;1;33.3;3;3;0;3;100.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;12054000;Potsdam;9;5;2;22.2;7;0;6;66.7;7;6;1;2;28.6
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;05562032;Recklinghausen;8;7;3;37.5;2;0;3;37.5;3;3;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;09362000;Regensburg;4;3;0;0.0;2;0;2;50.0;2;2;0;1;50.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;05120000;Remscheid;1;1;1;100.0;0;0;1;100.0;3;3;0;1;33.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;08415061;Reutlingen;2;2;1;50.0;0;0;1;50.0;1;1;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;13003000;Rostock;4;2;1;25.0;2;0;4;100.0;5;5;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;10041100;Saarbrücken;6;3;2;33.3;4;0;2;33.3;3;3;0;1;33.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;03102000;Salzgitter;5;5;2;40.0;1;0;2;40.0;4;4;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;13004000;Schwerin;1;1;0;0.0;0;0;1;100.0;1;1;0;1;100.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;05970040;Siegen;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;05122000;Solingen;7;4;4;57.1;1;0;5;71.4;10;10;0;5;50.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;08111000;Stuttgart;11;2;2;18.2;5;1;8;72.7;17;13;4;13;76.5
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;07211000;Trier;4;4;1;25.0;2;0;2;50.0;3;3;0;3;100.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;08421000;Ulm;2;2;0;0.0;1;0;1;50.0;1;1;0;0;0.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;06414000;Wiesbaden;4;1;2;50.0;3;0;2;50.0;2;1;1;1;50.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;03103000;Wolfsburg;8;6;1;12.5;2;0;7;87.5;5;5;0;2;40.0
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;05124000;Wuppertal;16;5;4;25.0;4;1;8;50.0;21;19;2;7;33.3
212000;Raub, räuberische Erpressung auf/gegen sonstige Zahlstellen und Geschäfte;09663000;Würzburg;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;05334002;Aachen;14;6;2;14.3;0;0;4;28.6;4;4;0;2;50.0
216000;Handtaschenraub;09761000;Augsburg;5;2;1;20.0;0;0;3;60.0;3;3;0;3;100.0
216000;Handtaschenraub;05378004;Bergisch Gladbach;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;11000000;Berlin;226;6;45;19.9;0;0;47;20.8;36;35;1;17;47.2
216000;Handtaschenraub;05711000;Bielefeld;4;1;1;25.0;0;0;1;25.0;1;1;0;0;0.0
216000;Handtaschenraub;05911000;Bochum;7;2;3;42.9;0;0;2;28.6;2;2;0;0;0.0
216000;Handtaschenraub;05314000;Bonn;6;2;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;05512000;Bottrop;2;2;1;50.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;03101000;Braunschweig;5;2;3;60.0;0;0;4;80.0;6;6;0;4;66.7
216000;Handtaschenraub;04011000;Bremen;14;2;0;0.0;0;0;6;42.9;5;4;1;3;60.0
216000;Handtaschenraub;04012000;Bremerhaven;8;7;0;0.0;0;0;1;12.5;1;1;0;1;100.0
216000;Handtaschenraub;14511000;Chemnitz;14;6;4;28.6;0;0;9;64.3;11;9;2;4;36.4
216000;Handtaschenraub;12052000;Cottbus;3;3;1;33.3;0;0;2;66.7;3;0;3;1;33.3
216000;Handtaschenraub;06411000;Darmstadt;2;1;1;50.0;0;0;1;50.0;1;1;0;0;0.0
216000;Handtaschenraub;05913000;Dortmund;39;7;12;30.8;0;0;14;35.9;10;9;1;6;60.0
216000;Handtaschenraub;14612000;Dresden;14;3;3;21.4;0;0;2;14.3;2;2;0;2;100.0
216000;Handtaschenraub;05112000;Duisburg;23;5;3;13.0;0;0;4;17.4;4;4;0;3;75.0
216000;Handtaschenraub;05111000;Düsseldorf;18;3;5;27.8;0;1;7;38.9;8;8;0;4;50.0
216000;Handtaschenraub;16051000;Erfurt;6;3;1;16.7;0;0;2;33.3;1;0;1;0;0.0
216000;Handtaschenraub;09562000;Erlangen;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;05113000;Essen;17;3;6;35.3;0;0;5;29.4;5;4;1;4;80.0
216000;Handtaschenraub;06412000;Frankfurt am Main;41;5;14;34.1;0;0;10;24.4;12;12;0;5;41.7
216000;Handtaschenraub;08311000;Freiburg im Breisgau;5;2;3;60.0;0;0;1;20.0;1;1;0;0;0.0
216000;Handtaschenraub;09563000;Fürth;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;05513000;Gelsenkirchen;9;3;1;11.1;0;0;3;33.3;2;1;1;1;50.0
216000;Handtaschenraub;03159016;Göttingen;7;6;4;57.1;0;0;3;42.9;12;12;0;8;66.7
216000;Handtaschenraub;05914000;Hagen;4;2;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;15002000;Halle (Saale);10;4;2;20.0;0;0;3;30.0;7;7;0;1;14.3
216000;Handtaschenraub;02000000;Hamburg;82;4;18;22.0;1;0;38;46.3;28;23;5;16;57.1
216000;Handtaschenraub;05915000;Hamm;6;3;1;16.7;0;0;1;16.7;1;1;0;0;0.0
216000;Handtaschenraub;03241001;Hannover;24;4;9;37.5;0;0;7;29.2;8;5;3;4;50.0
216000;Handtaschenraub;08221000;Heidelberg;5;3;1;20.0;0;0;2;40.0;2;2;0;2;100.0
216000;Handtaschenraub;08121000;Heilbronn;5;4;3;60.0;0;0;1;20.0;1;1;0;1;100.0
216000;Handtaschenraub;05916000;Herne;1;1;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;03254021;Hildesheim;2;2;1;50.0;0;0;1;50.0;1;1;0;1;100.0
216000;Handtaschenraub;09161000;Ingolstadt;2;1;0;0.0;0;0;1;50.0;1;1;0;0;0.0
216000;Handtaschenraub;16053000;Jena;1;1;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;08212000;Karlsruhe;20;6;7;35.0;0;0;2;10.0;2;2;0;1;50.0
216000;Handtaschenraub;06611000;Kassel;6;3;1;16.7;0;0;2;33.3;2;2;0;0;0.0
216000;Handtaschenraub;01002000;Kiel;2;1;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;07111000;Koblenz;2;2;0;0.0;0;0;1;50.0;2;2;0;1;50.0
216000;Handtaschenraub;05315000;Köln;86;8;17;19.8;0;0;15;17.4;18;18;0;14;77.8
216000;Handtaschenraub;05114000;Krefeld;17;7;4;23.5;0;0;5;29.4;2;2;0;0;0.0
216000;Handtaschenraub;14713000;Leipzig;39;7;5;12.8;0;0;15;38.5;6;5;1;2;33.3
216000;Handtaschenraub;05316000;Leverkusen;10;6;5;50.0;0;0;4;40.0;9;9;0;0;0.0
216000;Handtaschenraub;01003000;Lübeck;6;3;2;33.3;0;0;2;33.3;2;2;0;0;0.0
216000;Handtaschenraub;07314000;Ludwigshafen am Rhein;4;2;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;15003000;Magdeburg;16;7;5;31.3;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;07315000;Mainz;2;1;1;50.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;08222000;Mannheim;19;6;7;36.8;0;0;4;21.1;7;6;1;6;85.7
216000;Handtaschenraub;05170024;Moers;5;5;0;0.0;0;0;2;40.0;4;4;0;0;0.0
216000;Handtaschenraub;05116000;Mönchengladbach;13;5;4;30.8;0;0;3;23.1;5;4;1;0;0.0
216000;Handtaschenraub;05117000;Mülheim an der Ruhr;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;09162000;München;35;2;10;28.6;0;0;10;28.6;15;12;3;6;40.0
216000;Handtaschenraub;05515000;Münster;5;2;2;40.0;0;0;2;40.0;2;2;0;1;50.0
216000;Handtaschenraub;05162024;Neuss;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;09564000;Nürnberg;12;2;7;58.3;0;0;4;33.3;5;3;2;2;40.0
216000;Handtaschenraub;05119000;Oberhausen;5;2;3;60.0;0;0;3;60.0;3;3;0;3;100.0
216000;Handtaschenraub;06413000;Offenbach am Main;5;4;2;40.0;0;0;1;20.0;2;2;0;0;0.0
216000;Handtaschenraub;03403000;Oldenburg (Oldenburg);7;4;3;42.9;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;03404000;Osnabrück;6;4;3;50.0;0;0;1;16.7;1;1;0;0;0.0
216000;Handtaschenraub;05774032;Paderborn;1;1;1;100.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;08231000;Pforzheim;3;2;1;33.3;0;0;4;133.3;7;7;0;1;14.3
216000;Handtaschenraub;12054000;Potsdam;5;3;1;20.0;0;0;1;20.0;3;1;2;0;0.0
216000;Handtaschenraub;05562032;Recklinghausen;5;4;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;09362000;Regensburg;3;2;2;66.7;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;05120000;Remscheid;3;3;1;33.3;0;0;3;100.0;4;4;0;0;0.0
216000;Handtaschenraub;08415061;Reutlingen;3;3;1;33.3;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;13003000;Rostock;9;4;1;11.1;0;0;3;33.3;5;5;0;1;20.0
216000;Handtaschenraub;10041100;Saarbrücken;8;4;2;25.0;0;0;3;37.5;3;3;0;0;0.0
216000;Handtaschenraub;03102000;Salzgitter;6;6;3;50.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;13004000;Schwerin;3;3;0;0.0;0;0;2;66.7;3;3;0;3;100.0
216000;Handtaschenraub;05970040;Siegen;0;0;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;05122000;Solingen;1;1;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;08111000;Stuttgart;13;2;4;30.8;0;0;5;38.5;6;3;3;1;16.7
216000;Handtaschenraub;07211000;Trier;1;1;0;0.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;08421000;Ulm;1;1;0;0.0;0;0;2;200.0;2;2;0;1;50.0
216000;Handtaschenraub;06414000;Wiesbaden;6;2;1;16.7;0;0;3;50.0;2;1;1;0;0.0
216000;Handtaschenraub;03103000;Wolfsburg;1;1;1;100.0;0;0;0;0.0;0;0;0;0;0.0
216000;Handtaschenraub;05124000;Wuppertal;10;3;4;40.0;0;0;3;30.0;3;3;0;1;33.3
216000;Handtaschenraub;09663000;Würzburg;1;1;1;100.0;0;0;1;100.0;1;1;0;0;0.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05334002;Aachen;131;53;33;25.2;1;0;47;35.9;56;54;2;21;37.5
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;09761000;Augsburg;37;13;10;27.0;0;1;18;48.6;35;33;2;20;57.1
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05378004;Bergisch Gladbach;39;35;14;35.9;0;0;25;64.1;35;35;0;5;14.3
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;11000000;Berlin;2,223;62;378;17.0;27;1;684;30.8;951;900;51;456;47.9
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05711000;Bielefeld;115;35;26;22.6;0;0;56;48.7;86;83;3;44;51.2
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05911000;Bochum;176;48;48;27.3;3;0;99;56.3;120;109;11;48;40.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05314000;Bonn;145;45;36;24.8;3;0;68;46.9;106;100;6;32;30.2
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05512000;Bottrop;25;21;9;36.0;1;0;9;36.0;13;13;0;1;7.7
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;03101000;Braunschweig;46;19;5;10.9;0;0;14;30.4;24;22;2;12;50.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;04011000;Bremen;345;61;58;16.8;13;0;93;27.0;125;120;5;85;68.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;04012000;Bremerhaven;78;69;20;25.6;1;0;33;42.3;52;50;2;17;32.7
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;14511000;Chemnitz;81;33;11;13.6;0;0;45;55.6;63;60;3;47;74.6
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;12052000;Cottbus;13;13;2;15.4;0;0;5;38.5;6;6;0;2;33.3
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;06411000;Darmstadt;43;27;8;18.6;0;0;26;60.5;36;36;0;18;50.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05913000;Dortmund;379;65;77;20.3;1;0;138;36.4;181;166;15;76;42.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;14612000;Dresden;154;28;35;22.7;5;0;66;42.9;125;119;6;48;38.4
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05112000;Duisburg;238;48;56;23.5;5;1;95;39.9;129;124;5;64;49.6
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05111000;Düsseldorf;283;46;38;13.4;2;0;100;35.3;150;133;17;59;39.3
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;16051000;Erfurt;16;8;5;31.3;0;0;8;50.0;10;10;0;0;0.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;09562000;Erlangen;1;1;0;0.0;0;0;1;100.0;1;1;0;1;100.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05113000;Essen;193;33;39;20.2;1;0;72;37.3;119;106;13;43;36.1
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;06412000;Frankfurt am Main;462;62;82;17.7;6;1;176;38.1;226;211;15;132;58.4
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;08311000;Freiburg im Breisgau;79;34;10;12.7;0;0;33;41.8;38;36;2;14;36.8
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;09563000;Fürth;3;2;1;33.3;0;0;1;33.3;2;2;0;0;0.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05513000;Gelsenkirchen;133;51;30;22.6;0;0;38;28.6;58;54;4;17;29.3
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;03159016;Göttingen;27;23;5;18.5;1;0;10;37.0;31;26;5;6;19.4
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05914000;Hagen;75;40;17;22.7;1;0;28;37.3;35;28;7;16;45.7
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;15002000;Halle (Saale);116;49;25;21.6;5;0;49;42.2;70;57;13;21;30.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;02000000;Hamburg;984;54;167;17.0;21;0;316;32.1;439;397;42;240;54.7
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05915000;Hamm;65;36;17;26.2;2;0;34;52.3;46;40;6;18;39.1
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;03241001;Hannover;210;39;40;19.0;5;1;89;42.4;126;123;3;61;48.4
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;08221000;Heidelberg;25;16;7;28.0;0;0;14;56.0;25;23;2;18;72.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;08121000;Heilbronn;13;10;3;23.1;1;0;5;38.5;10;9;1;5;50.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05916000;Herne;68;43;16;23.5;1;0;31;45.6;47;43;4;18;38.3
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;03254021;Hildesheim;34;33;7;20.6;1;1;21;61.8;32;31;1;11;34.4
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;09161000;Ingolstadt;11;8;3;27.3;0;0;5;45.5;8;6;2;2;25.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;16053000;Jena;1;1;0;0.0;0;0;1;100.0;4;4;0;4;100.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;08212000;Karlsruhe;61;20;10;16.4;2;1;28;45.9;48;46;2;24;50.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;06611000;Kassel;81;40;14;17.3;0;0;40;49.4;66;62;4;33;50.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;01002000;Kiel;105;42;21;20.0;3;0;44;41.9;64;56;8;19;29.7
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;07111000;Koblenz;37;33;10;27.0;0;0;14;37.8;17;17;0;7;41.2
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05315000;Köln;694;64;124;17.9;9;1;249;35.9;321;301;20;142;44.2
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05114000;Krefeld;99;44;20;20.2;2;0;46;46.5;58;56;2;17;29.3
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;14713000;Leipzig;247;42;47;19.0;5;1;89;36.0;138;125;13;40;29.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05316000;Leverkusen;53;32;11;20.8;0;1;26;49.1;34;32;2;8;23.5
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;01003000;Lübeck;77;36;15;19.5;3;0;35;45.5;48;46;2;15;31.3
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;07314000;Ludwigshafen am Rhein;88;52;21;23.9;0;0;48;54.5;72;64;8;32;44.4
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;15003000;Magdeburg;96;40;16;16.7;0;0;31;32.3;49;45;4;17;34.7
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;07315000;Mainz;74;34;22;29.7;1;0;37;50.0;54;50;4;23;42.6
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;08222000;Mannheim;99;32;23;23.2;1;0;36;36.4;51;51;0;27;52.9
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05170024;Moers;32;31;6;18.8;0;0;15;46.9;23;22;1;9;39.1
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05116000;Mönchengladbach;82;31;16;19.5;4;0;42;51.2;55;54;1;18;32.7
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05117000;Mülheim an der Ruhr;26;15;7;26.9;0;0;20;76.9;31;26;5;8;25.8
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;09162000;München;142;10;26;18.3;1;0;75;52.8;124;117;7;83;66.9
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05515000;Münster;110;35;25;22.7;1;0;45;40.9;53;51;2;23;43.4
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05162024;Neuss;63;41;16;25.4;1;1;28;44.4;33;32;1;10;30.3
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;09564000;Nürnberg;94;18;29;30.9;1;0;46;48.9;69;64;5;32;46.4
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05119000;Oberhausen;85;40;22;25.9;0;1;28;32.9;37;35;2;14;37.8
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;06413000;Offenbach am Main;51;40;11;21.6;2;0;18;35.3;32;30;2;11;34.4
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;03403000;Oldenburg (Oldenburg);42;25;9;21.4;1;0;23;54.8;31;30;1;12;38.7
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;03404000;Osnabrück;30;18;3;10.0;0;0;9;30.0;14;12;2;2;14.3
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05774032;Paderborn;42;28;8;19.0;1;0;21;50.0;35;35;0;15;42.9
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;08231000;Pforzheim;30;24;8;26.7;1;0;16;53.3;30;30;0;11;36.7
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;12054000;Potsdam;44;25;12;27.3;0;0;26;59.1;34;31;3;15;44.1
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05562032;Recklinghausen;43;38;9;20.9;0;0;18;41.9;21;19;2;11;52.4
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;09362000;Regensburg;18;12;5;27.8;1;0;8;44.4;10;10;0;5;50.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05120000;Remscheid;34;31;9;26.5;0;0;16;47.1;23;23;0;6;26.1
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;08415061;Reutlingen;14;12;3;21.4;2;0;9;64.3;15;13;2;5;33.3
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;13003000;Rostock;64;31;16;25.0;0;0;41;64.1;57;57;0;22;38.6
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;10041100;Saarbrücken;105;58;22;21.0;1;1;53;50.5;59;50;9;18;30.5
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;03102000;Salzgitter;7;7;1;14.3;0;0;4;57.1;7;5;2;3;42.9
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;13004000;Schwerin;31;32;4;12.9;0;0;12;38.7;20;20;0;13;65.0
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05970040;Siegen;25;24;10;40.0;2;0;19;76.0;27;25;2;8;29.6
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05122000;Solingen;49;31;13;26.5;0;0;21;42.9;28;27;1;8;28.6
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;08111000;Stuttgart;198;31;47;23.7;3;0;96;48.5;144;137;7;78;54.2
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;07211000;Trier;40;36;9;22.5;1;0;22;55.0;33;33;0;19;57.6
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;08421000;Ulm;20;16;2;10.0;0;0;9;45.0;17;16;1;9;52.9
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;06414000;Wiesbaden;79;28;24;30.4;0;0;59;74.7;79;77;2;27;34.2
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;03103000;Wolfsburg;14;11;4;28.6;0;0;9;64.3;14;14;0;1;7.1
217000;Sonstige Raubüberfälle auf Straßen, Wegen oder Plätzen;05124000;Wuppertal;188;53;41;21.8;2;0;80;42.6;107;93;14;38;35.5
