Schluessel;Straftat;Gemeindeschluessel;Stadt;erfasste Faelle;HZ nach Zensus;Versuche - Anzahl;Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;aufgeklaerte Faelle;Aufklaerungsquote;Tatverdaechtige insgesamt;Tatverdaechtige - maennlich;Tatverdaechtige - weiblich;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in %
899000;Straﬂenkriminalitaet;10041100;Saarbruecken;4,575;2,568;305;6.7;2;4;838;18.3;821;695;126;269;32.8
899000;Straﬂenkriminalitaet;3102000;Salzgitter;1,321;1,307;72;5.5;0;4;238;18;270;239;31;66;24.4
899000;Straﬂenkriminalitaet;13004000;Schwerin;1,601;1,654;67;4.2;0;0;304;19;277;249;28;39;14.1
899000;Straﬂenkriminalitaet;5970040;Siegen;2,193;2,143;150;6.8;0;3;475;21.7;403;363;40;89;22.1
899000;Straﬂenkriminalitaet;5122000;Solingen;2,694;1,697;134;5;3;0;399;14.8;409;358;51;110;26.9
899000;Straﬂenkriminalitaet;8111000;Stuttgart;8,910;1,428;505;5.7;2;0;1,793;20.1;1,960;1,789;171;1,017;51.9
899000;Straﬂenkriminalitaet;7211000;Trier;1,973;1,717;76;3.9;1;2;437;22.1;425;386;39;115;27.1
899000;Straﬂenkriminalitaet;8421000;Ulm;1,997;1,628;87;4.4;1;0;393;19.7;276;251;25;110;39.9
899000;Straﬂenkriminalitaet;6414000;Wiesbaden;4,627;1,675;269;5.8;0;4;1,120;24.2;984;844;140;374;38
899000;Straﬂenkriminalitaet;3103000;Wolfsburg;2,230;1,798;165;7.4;0;2;412;18.5;308;285;23;111;36
899000;Straﬂenkriminalitaet;5124000;Wuppertal;9,257;2,645;746;8.1;0;5;1,220;13.2;1,345;1,166;179;490;36.4
899000;Straﬂenkriminalitaet;9663000;Wuerzburg;1,774;1,421;56;3.2;0;3;408;23;349;315;34;105;30.1
899500;Sachbeschaedigung durch Graffiti insgesamt;5334002;Aachen;305;124;1;0.3;0;0;28;9.2;38;38;0;3;7.9
899500;Sachbeschaedigung durch Graffiti insgesamt;9761000;Augsburg;625;218;0;0;0;0;82;13.1;25;24;1;1;4
899500;Sachbeschaedigung durch Graffiti insgesamt;5378004;Bergisch Gladbach;86;77;0;0;0;0;20;23.3;14;11;3;1;7.1
899500;Sachbeschaedigung durch Graffiti insgesamt;11000000;Berlin;10,501;298;30;0.3;0;0;1,314;12.5;1,056;968;88;208;19.7
899500;Sachbeschaedigung durch Graffiti insgesamt;5711000;Bielefeld;1,039;312;5;0.5;0;0;265;25.5;56;54;2;4;7.1
